Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Kimmie MEISSNER,USA,172.75,6,52.49,1,120.26,2007-02-10,fc2007
2,Emily HUGHES,USA,166.6,2,55.34,2,111.26,2007-02-10,fc2007
3,Joannie ROCHETTE,CAN,165.9,1,56.6,3,109.3,2007-02-10,fc2007
4,Aki SAWADA,JPN,156.88,3,55.13,5,101.75,2007-02-10,fc2007
5,Alissa CZISNY,USA,154.03,4,54.64,6,99.39,2007-02-10,fc2007
6,Yoshie ONDA,JPN,152.61,7,49.38,4,103.23,2007-02-10,fc2007
7,Lesley HAWKER,CAN,138.23,16,41.06,7,97.17,2007-02-10,fc2007
8,Binshu XU,CHN,133.09,10,46.82,8,86.27,2007-02-10,fc2007
9,Yan LIU,CHN,126.69,5,53.34,15,73.35,2007-02-10,fc2007
10,Dan FANG,CHN,125.2,8,48.56,13,76.64,2007-02-10,fc2007
11,Yea-Ji SHIN,KOR,123.44,14,42.21,9,81.23,2007-02-10,fc2007
12,Anastasia GIMAZETDINOVA,UZB,123.39,11,46.15,12,77.24,2007-02-10,fc2007
13,Na-Young KIM,KOR,122.28,13,43.28,10,79,2007-02-10,fc2007
14,Chae-Hwa KIM,KOR,121.11,9,46.96,14,74.15,2007-02-10,fc2007
15,Cynthia PHANEUF,CAN,120.01,15,42.14,11,77.87,2007-02-10,fc2007
16,Joanne CARTER,AUS,108.4,18,38.35,16,70.05,2007-02-10,fc2007
17,Ana Cecilia CANTU,MEX,100.64,17,39.19,20,61.45,2007-02-10,fc2007
18,Emily NAPHTAL,MEX,96.26,21,31.66,17,64.6,2007-02-10,fc2007
19,Jocelyn HO,TPE,95.56,20,33.11,19,62.45,2007-02-10,fc2007
20,Ami PAREKH,IND,94.56,22,30.4,18,64.16,2007-02-10,fc2007
21,Phoebe DI TOMMASO,AUS,92.92,19,34.05,22,58.87,2007-02-10,fc2007
22,Michele CANTU,MEX,90.63,23,29.66,21,60.97,2007-02-10,fc2007
23,Abigail PIETERSEN,RSA,74.3,24,25.21,23,49.09,2007-02-10,fc2007
WD,Fumie SUGURI,JPN,46.09,12,46.09,WD,WD,2007-02-10,fc2007
25,Kristine Y. LEE,HKG,23.06,25,23.06,DNQ,DNQ,2007-02-10,fc2007
26,Stephanie GARDNER,BRA,18.69,26,18.69,DNQ,DNQ,2007-02-10,fc2007
