Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Julia LIPNITSKAIA,RUS,190.8,1,72.24,2,118.56,2013-11-24,gprus2013
2,Carolina KOSTNER,ITA,190.12,2,67.74,1,122.38,2013-11-24,gprus2013
3,Mirai NAGASU,USA,175.37,4,60.44,3,114.93,2013-11-24,gprus2013
4,Elizaveta TUKTAMYSHEVA,RUS,171.87,5,60.16,5,111.71,2013-11-24,gprus2013
5,Satoko MIYAHARA,JPN,165.76,6,56.57,6,109.19,2013-11-24,gprus2013
6,Agnes ZAWADZKI,USA,163.21,3,60.45,8,102.76,2013-11-24,gprus2013
7,Kanako MURAKAMI,JPN,162.46,9,49.24,4,113.22,2013-11-24,gprus2013
8,Nikol GOSVIANI,RUS,157.17,7,50.21,7,106.96,2013-11-24,gprus2013
9,Haruka IMAI,JPN,145.3,8,49.55,9,95.75,2013-11-24,gprus2013
