10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
11,Katarina GERBOLDT,RUS,0,42.42,23.5,19.92,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,2A,,3.5,False,-1.44,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,,2.06
2,3F+2T,,6.8,False,0.0,0,0,0,0,0,0,0,0,0,0,,6.8
3,3Lo<,<,1.5,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.5
4,FCSp3,,2.8,False,0.5,1,1,0,1,1,1,1,1,1,1,,3.3
5,SpSq2,,2.3,False,-0.06,0,0,0,-1,-1,0,0,0,-1,1,,2.24
6,LSp2,,1.9,False,0.1,0,0,0,0,0,0,0,1,0,1,,2.0
7,CiSt3,,3.3,False,0.1,1,0,0,0,0,0,0,1,0,0,,3.4
8,CCoSp4,,3.5,False,-0.3,-1,-2,0,-2,-1,-2,-1,-1,-1,0,,3.2
,,,25.6,,,,,,,,,,,,,,23.5
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.25,5.0,5.25,4.75,5.0,5.25,5.0,5.5,5.25,4.5,,5.15
,Transition / Linking Footwork  ,,,,0.8,5.0,4.25,4.75,4.0,4.5,4.5,4.5,4.75,4.5,4.0,,4.55
,Performance / Execution  ,,,,0.8,5.25,5.0,4.75,4.5,4.75,5.0,5.0,5.5,5.25,4.75,,5.05
,Choreography / Composition  ,,,,0.8,5.25,4.5,5.0,4.25,4.5,5.0,5.0,5.25,5.25,5.0,,5.1
,Interpretation  ,,,,0.8,5.25,5.0,5.0,4.25,4.75,4.75,5.25,5.0,5.25,5.0,,5.05
,,,,,,,,,,,,,,,,,19.92
Deduction,Falls,-1.0
