ISU GP NHK Trophy 2016,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
"",Starting Total,Total,Total,Total,
Rank Name,Nation Number Segment,Element,Program  Component,Deductions,
Elements Value,,,,Panel,
1 2A  3.30  0.79,1 2 0 1 2,2 2,2 1,4.09,
2 StSq4  3.90  1.30,2 2 1 2 3,3 2,1 1,5.20,
3 3Lz< <  4.62 x -2.10,-3 -3 -3 -3 -3,-3 -3,-3 -3,2.52,
4 CCoSp4  3.50  0.71,1 1 1 2 2,1 2,2 0,4.21,
5 3Lo+2T  7.04 x  0.90,1 2 0 1 2,1 2,1 1,7.94,
6 FCSp4  3.20  0.79,1 1 2 2 2,2 1,2 1,3.99,
7 LSp4  2.70  1.43,3 2 3 2 3,3 3,3 3,4.13,
28.26,,,,32.08,
Program Components Factor,,,,,
Skating Skills  0.80,8.00  8.00  8.75  8.50  8.50,8.50  8.75,8.75  7.50,8.43,
Transitions  0.80,7.50  7.75  8.25  8.25  8.25,8.25  8.75,8.50  6.75,8.11,
Performance  0.80,7.50  7.25  8.25  8.00  8.50,8.75  9.25,8.75  7.75,8.21,
Composition  0.80,7.75  7.75  8.50  8.25  8.50,8.50  9.25,9.00  7.25,8.32,
Interpretation of the Music  0.80,7.75  8.00  7.75  8.00  8.75,8.75  9.25,9.25  7.25,8.32,
Judges Total Program Component Score (factored),,,,33.12,
Deductions Falls: -1.00(1),,,,-1.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,
"",Starting Total,Total,Total,Total,
Rank Name,Nation Number Segment,Element,Program  Component,Deductions,
"",Score,Score,Score (factored),,
4 Mirai NAGASU,USA  10  63.49,32.42,31.07,0.00,
Executed Base,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 3F+3T< !  8.30 -1.20,-1 -2 -2 -2 -2,-2 -2,-1 1,7.10,
2 FCSp3  2.80  0.50,1 1 1 1 1,2 1,1 1,3.30,
3 CCoSp3  3.00  0.79,1 2 0 1 1,2 2,3 2,3.79,
4 3Lo  5.61 x  0.70,1 1 1 1 1,2 0,1 1,6.31,
5 2A  3.63 x  0.79,2 1 2 1 2,2 1,1 2,4.42,
6 StSq3  3.30  0.64,2 1 0 2 2,1 1,1 1,3.94,
7 LSp4  2.70  0.86,2 1 1 1 2,2 2,2 2,3.56,
29.34,,,,32.42,
Program Components Factor,,,,,
Skating Skills  0.80,7.75  7.25  6.50  7.75  7.75,7.50  8.75,8.25  8.50,7.82,
Transitions  0.80,7.50  7.00  7.00  7.50  7.50,7.25  8.75,8.00  8.00,7.54,
Performance  0.80,7.75  7.25  6.25  7.50  7.50,7.50  9.00,8.25  8.50,7.75,
Composition  0.80,7.75  7.50  6.50  7.75  7.75,7.75  9.00,8.50  8.00,7.86,
Interpretation of the Music  0.80,7.50  7.50  6.25  7.75  7.75,7.25  9.00,8.50  8.75,7.86,
Judges Total Program Component Score (factored),,,,31.07,
Deductions,,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1","!  Not clear edge",,,,
ISU GP NHK Trophy 2016,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
"",Starting Total,Total,Total,Total,
Rank Name,Nation Number Segment,Element,Program  Component,Deductions,
"",Score,Score,Score (factored),,
5 Wakaba HIGUCHI,JPN  9  62.58,32.04,30.54,0.00,
Executed Base,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,J6 J7,InfoJ8 J9 Ref,,Info
Elements Value,,,,Panel,
1 2A  3.30  0.71,1 2 1 1 2,2 2,1 1,4.01,
2 FCSp4  3.20  0.50,1 0 1 1 2,1 1,1 1,3.70,
3 CCoSp4  3.50  0.50,1 1 1 1 2,1 1,1 1,4.00,
4 StSq4  3.90  1.30,2 2 0 2 3,2 3,1 1,5.20,
5 3Lz  6.60 x -1.80,-2 -3 -3 -3 -2,-2 -3,-2 -3,4.80,
6 3F+2T !  7.26 x -0.20,0 0 -1 0 0,-1 0,-1 0,7.06,
7 LSp4  2.70  0.57,1 0 1 1 2,1 1,1 2,3.27,
30.46,,,,32.04,
Program Components Factor,,,,,
Skating Skills  0.80,7.75  7.75  6.75  7.75  8.25,7.75  8.75,7.25  8.00,7.79,
Transitions  0.80,7.50  7.25  7.00  7.50  8.00,7.50  8.75,7.00  7.00,7.39,
Performance  0.80,7.50  7.50  7.00  7.50  8.00,7.75  8.75,7.50  7.25,7.57,
Composition  0.80,7.50  7.50  6.75  7.75  8.25,8.00  8.75,7.50  7.50,7.71,
