Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Yuzuru HANYU,JPN,301.47,1,103.89,1,197.58,2016-11-27,gpjpn2016
2,Nathan CHEN,USA,268.91,2,87.94,2,180.97,2016-11-27,gpjpn2016
3,Keiji TANAKA,JPN,248.44,3,80.49,3,167.95,2016-11-27,gpjpn2016
4,Alexei BYCHENKO,ISR,229.87,7,75.13,4,154.74,2016-11-27,gpjpn2016
5,Mikhail KOLYADA,RUS,225.69,4,78.18,6,147.51,2016-11-27,gpjpn2016
6,Deniss VASILJEVS,LAT,223.73,10,70.5,5,153.23,2016-11-27,gpjpn2016
7,Jason BROWN,USA,218.47,8,74.33,7,144.14,2016-11-27,gpjpn2016
8,Nam NGUYEN,CAN,212.43,6,75.33,8,137.1,2016-11-27,gpjpn2016
9,Ryuju HINO,JPN,207.15,9,72.5,9,134.65,2016-11-27,gpjpn2016
10,Elladj BALDE,CAN,195.32,5,76.29,11,119.03,2016-11-27,gpjpn2016
11,Grant HOCHSTEIN,USA,191.4,11,68.31,10,123.09,2016-11-27,gpjpn2016
