Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Tessa VIRTUE / Scott MOIR,CAN,195.84,1,79.47,1,116.37,2016-11-27,gpjpn2016
2,Gabriella PAPADAKIS / Guillaume CIZERON,FRA,186.66,2,75.6,2,111.06,2016-11-27,gpjpn2016
3,Anna CAPPELLINI / Luca LANOTTE,ITA,180.42,3,72,3,108.42,2016-11-27,gpjpn2016
4,Kaitlin HAWAYEK / Jean-Luc BAKER,USA,169.75,5,65.41,4,104.34,2016-11-27,gpjpn2016
5,Victoria SINITSINA / Nikita KATSALAPOV,RUS,169.62,4,68.85,5,100.77,2016-11-27,gpjpn2016
6,Marie-Jade LAURIAULT / Romain LE GAC,FRA,149.99,7,58.21,6,91.78,2016-11-27,gpjpn2016
7,Natalia KALISZEK / Maksym SPODYRIEV,POL,147.93,6,59.92,7,88.01,2016-11-27,gpjpn2016
8,Anastasia CANNUSCIO / Colin MCMANUS,USA,139.47,8,52.66,8,86.81,2016-11-27,gpjpn2016
9,Emi HIRAI / Marien DE LA ASUNCION,JPN,120.35,9,49.37,9,70.98,2016-11-27,gpjpn2016
WD,Kana MURAMOTO / Chris REED,JPN,WD,WD,WD,WD,WD,2016-11-27,gpjpn2016
