ISU GP NHK Trophy 2016,,,,,
ICE DANCE SHORT DANCEJUDGES DETAILS PER SKATER,,,,,
"",Starting Total,Total,Total,Total,
Rank Name,Nation Number Segment,Element,Program  Component,Deductions,
"",Score,Score,Score (factored),,
1 Tessa VIRTUE / Scott MOIR,CAN  6  79.47,41.58,37.89,0.00,
Executed Base,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,J6 J7,J8 Info J9 Ref,,Info
Elements Value,,,,Panel,
1 NtMiSt4  8.60  3.14,3 3 3 3 3,2 2,3 3,11.74,
2 1MB4+kpYYY  5.00  1.37,2 2 2 3 3,3 2,2 2,6.37,
3 PSt3  7.10  2.36,2 3 2 2 3,2 2,2 2,9.46,
4 STw4  6.60  1.11,2 2 2 3 2,1 2,2 1,7.71,
5 CuLi4  4.50  1.80,3 3 3 3 3,3 3,3 2,6.30,
31.80,,,,41.58,
Program Components Factor,,,,,
Skating Skills  0.80,9.25  9.50  9.50  9.50  9.25,9.50  9.25,9.00  9.25,9.36,
Transitions  0.80,9.25  9.25  9.50  9.50  9.50,9.25  9.00,9.00  9.00,9.25,
Performance  0.80,9.50  9.75  9.75  9.75  9.75,9.50  9.75,9.75  9.25,9.68,
Composition  0.80,9.50  9.50  9.50  9.75  9.50,9.50  9.50,9.25  9.25,9.46,
Interpretation of the Music / Timing  0.80,9.50  9.75  9.75  9.75  9.75,9.75  9.50,9.25  9.25,9.61,
Judges Total Program Component Score (factored),,,,37.89,
Deductions,,,,0.00,
Violation of choreography restrictions: (2 of 10),,,,,
"",Starting Total,Total,Total,Total,
Rank Name,Nation Number Segment,Element,Program  Component,Deductions,
"",Score,Score,Score (factored),,
2 Gabriella PAPADAKIS / Guillaume CIZERON,FRA  3  75.60,37.98,37.62,0.00,
Executed Base,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 STw4  6.60  1.29,3 2 2 2 3,2 2,2 2,7.89,
2 1MB4+kpYYY  5.00  1.37,3 2 2 2 3,2 2,3 2,6.37,
3 PSt2  5.60  2.36,2 2 2 2 2,1 3,3 2,7.96,
4 StaLi4  4.50  1.80,3 3 3 3 3,2 3,3 3,6.30,
5 NtDiSt3  7.10  2.36,2 3 2 2 2,2 2,3 2,9.46,
28.80,,,,37.98,
Program Components Factor,,,,,
Skating Skills  0.80,9.50  9.25  9.25  9.00  9.50,9.50  9.25,9.50  9.50,9.39,
Transitions  0.80,9.50  9.00  9.00  9.25  9.25,9.25  9.25,9.50  9.25,9.25,
Performance  0.80,9.25  9.50  9.00  9.00  9.75,9.50  9.50,9.75  9.50,9.43,
Composition  0.80,9.75  9.00  9.25  9.25  9.50,9.25  9.50,9.75  9.75,9.46,
Interpretation of the Music / Timing  0.80,9.50  9.50  9.00  9.25  9.50,9.50  9.75,9.75  9.50,9.50,
Judges Total Program Component Score (factored),,,,37.62,
Deductions,,,,0.00,
Violation of choreography restrictions: (2 of 10),,,,,
ISU GP NHK Trophy 2016,,,,,
ICE DANCE SHORT DANCEJUDGES DETAILS PER SKATER,,,,,
"",Starting Total,Total,Total,Total,
Rank Name,Nation Number Segment,Element,Program  Component,Deductions,
"",Score,Score,Score (factored),,
3 Anna CAPPELLINI / Luca LANOTTE,ITA  9  72.00,36.97,35.03,0.00,
Executed Base,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,J6 J7,J8 Info J9 Ref,,Info
Elements Value,,,,Panel,
1 STw4  6.60  1.11,2 1 2 3 3,2 2,1 1,7.71,
2 1MB3+kpYTY  4.40  0.86,3 1 1 1 2,1 2,2 1,5.26,
3 PSt3  7.10  1.89,2 1 2 2 2,1 2,2 1,8.99,
