ISU GP NHK Trophy 2016,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",Starting Total,,Total,Total,Total,
Rank Name,Nation Number Segment,,Element,Program  Component,Deductions,
Executed Base,,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,,J6 J7,InfoJ8 J9 Ref,,Info
Elements Value,,,,,Panel,
1 4S  10.50 -2.86,-2 -2 -2 -2 -2,,-3 -3,-3 -1,7.64,
2 3A  8.50  1.00,1 1 1 1 1,,1 1,1 2,9.50,
3 CSSp4  3.00  0.07,0 0 1 0 -1,,0 0,1 0,3.07,
4 FCSp3  2.80  0.14,1 0 1 1 0,,0 0,0 0,2.94,
5 3F+3T  10.56 x  0.70,0 1 1 1 2,,1 1,1 1,11.26,
6 StSq3  3.30  0.64,0 1 1 1 2,,2 0,2 2,3.94,
7 CCoSp4  3.50  0.29,1 0 0 1 0,,1 0,1 1,3.79,
42.16,,,,,42.14,
Program Components Factor,,,,,,
Skating Skills  1.00,7.75  7.75  8.25  7.75  7.50,,7.75  7.50,8.00  7.75,7.75,
Transitions  1.00,7.50  7.50  7.50  7.50  7.25,,7.50  7.50,7.75  7.50,7.50,
Performance  1.00,7.50  7.25  8.00  7.75  7.50,,7.25  7.75,8.00  7.75,7.64,
Composition  1.00,7.75  7.75  8.00  7.75  7.75,,7.50  7.50,7.50  8.00,7.71,
Interpretation of the Music  1.00,7.75  7.50  8.00  7.75  7.50,,7.50  8.00,7.75  8.00,7.75,
Judges Total Program Component Score (factored),,,,,38.35,
Deductions,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting Total,,Total,Total,Total,
Rank Name,Nation Number Segment,,Element,Program  Component,Deductions,
"",Score,,Score,Score (factored),,
4 Mikhail KOLYADA,RUS  1  78.18,,37.63,40.55,0.00,
Executed Base,,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,,J6 J7,J8 J9 Ref,,
Elements Value,,,,,Panel,
1 3T  4.30 -2.00,-3 -3 -3 -3 -2,,-3 -2,-3 -3,2.30,
