ISU GP NHK Trophy 2016,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
1 Yuzuru HANYU JPN  10  197.58,,106.06,92.52,1.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5In fo",,J6 J7,J8 J9 Ref,,Info
Elements Value,,,,Panel,
1 4Lo  12.00  1.57 3 2 1 0 1,,2 2,1 2,13.57,
2 4S  10.50  2.29 3 3 2 2 2,,2 2,2 3,12.79,
3 FCCoSp4  3.50  1.00 3 2 2 2 2,,2 1,2 2,4.50,
4 StSq3  3.30  1.00 2 2 2 2 2,,2 1,2 2,4.30,
5 3F  5.30  1.40 2 2 2 1 2,,1 2,3 3,6.70,
6 4S+REP  8.09 x -4.00 -3 -3 -3 -3 -3,,-3 -3,-3 -3,4.09,
7 4T  11.33 x  1.57 3 1 2 1 1,,2 -1,2 2,12.90,
8 3A+3T  14.08 x  2.00 2 2 2 2 1,,2 2,2 2,16.08,
9 3A+1Lo+2S  11.33 x  1.00 1 1 1 0 2,,1 1,1 1,12.33,
10 FCSSp3  2.60  0.64 2 1 2 1 2,,1 0,1 1,3.24,
11 ChSq1  2.00  1.30 2 2 2 1 2,,2 1,2 3,3.30,
12 3Lz  6.60 x  1.30 2 2 2 1 2,,2 2,1 2,7.90,
13 CCoSp4  3.50  0.86 2 2 2 0 2,,2 1,1 2,4.36,
94.13,,,,106.06,
Program Components Factor,,,,,
Skating Skills  2.00  9.50  9.50  9.00  9.50  9.50,,8.25  9.25,9.75  9.25,9.36,
Transitions  2.00  9.25  9.00  9.50  9.00  9.00,,8.50  8.50,9.25  9.50,9.07,
Performance  2.00  9.25  9.50  9.00  8.75  9.75,,8.75  9.25,9.50  9.00,9.18,
Composition  2.00  9.50  9.50  9.25  9.25  9.50,,8.50  8.75,9.25  9.50,9.29,
Interpretation of the Music  2.00  9.50  9.50  9.00  9.00  9.50,,8.75  9.50,9.50  9.50,9.36,
Judges Total Program Component Score (factored),,,,92.52,
Deductions Falls: -1.00(1),,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1REP Jump repetition",,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
2 Nathan CHEN USA  11  180.97,,97.91,84.06,1.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 4Lz  13.60 -4.00 -3 -3 -3 -3 -3,,-3 -3,-3 -3,9.60,
2 4F+3T  16.60  1.43 1 2 2 1 1,,2 1,1 2,18.03,
3 4T  10.30 -1.89 -1 -1 -2 -2 -2,,-1 -2,-2 -1,8.41,
4 4T+2T  11.60  0.00 0 1 0 -1 0,,0 0,0 0,11.60,
5 ChSq1  2.00  0.90 1 2 1 1 1,,1 2,1 3,2.90,
6 3A  9.35 x -1.00 -1 0 -1 -1 -1,,-1 -1,-1 -1,8.35,
7 3Lo  5.61 x  0.50 0 1 1 0 1,,0 1,1 2,6.11,
8 3F+3T+2T  11.99 x  0.40 0 1 1 1 1,,0 1,0 0,12.39,
9 3Lz  6.60 x -0.90 -1 -1 -1 -2 -2,,-1 -1,-2 -1,5.70,
10 CCSp3  2.80  0.07 1 1 0 0 -1,,0 0,0 0,2.87,
11 StSq3  3.30  0.79 1 2 1 1 1,,2 2,2 2,4.09,
12 FCCoSp4  3.50  0.50 2 0 0 1 2,,2 -1,1 1,4.00,
13 CCoSp3  3.00  0.86 2 2 1 1 2,,2 1,2 2,3.86,
100.25,,,,97.91,
