ISU GP NHK Trophy 2016,,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,,
"",Starting Total,Total,Total,Total,
Rank Name,Nation Number Segment,Element,Program  Component,Deductions,
"",Score,Score,Score (factored),,
1 Tessa VIRTUE / Scott MOIR,CAN  8  116.37,58.77,57.60,0.00,
Executed Base,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,J6 InfJo7,J8 J9 Ref,,Info
Elements Value,,,,Panel,
1 StaLi4  4.50  1.80,3 3 3 3 3,3 3,3 3,6.30,
2 STw4  6.60  1.80,3 3 3 3 3,3 3,3 3,8.40,
3 CiSt3  7.10  2.83,3 3 2 3 3,3 2,2 2,9.93,
4 RoLi4  4.50  1.80,3 3 3 3 3,2 3,3 3,6.30,
5 CoSp4  5.60  1.54,3 3 2 3 3,3 2,2 2,7.14,
6 DiSt3  7.10  2.83,3 2 2 2 3,3 3,3 2,9.93,
7 ChTw1  0.70  1.40,1 2 2 2 2,2 2,3 2,2.10,
8 SlLi4  4.50  1.37,3 3 2 2 3,2 2,2 2,5.87,
9 ChLi1  0.70  2.10,3 3 3 3 3,3 3,3 3,2.80,
41.30,,,,58.77,
Program Components Factor,,,,,
Skating Skills  1.20,9.75  9.50  9.25  9.50  9.50,9.50  9.50,9.50  9.50,9.50,
Transitions  1.20,9.50  9.50  9.00  9.50  9.75,9.50  9.25,9.50  9.25,9.43,
Performance  1.20,9.75  9.75  9.75  9.50  9.75,9.75  9.75,9.75  9.75,9.75,
Composition  1.20,9.50  9.50  9.25  9.50  9.75,9.75  9.50,9.75  9.75,9.61,
Interpretation of the Music / Timing  1.20,9.50  9.75  9.25  9.75  9.75,9.75  9.75,9.75  9.75,9.71,
Judges Total Program Component Score (factored),,,,57.60,
Deductions,,,,0.00,
Violation of choreography restrictions: (1 of 10),,,,,
"",Starting Total,Total,Total,Total,
Rank Name,Nation Number Segment,Element,Program  Component,Deductions,
"",Score,Score,Score (factored),,
2 Gabriella PAPADAKIS / Guillaume CIZERON,FRA  7  111.06,54.40,56.66,0.00,
Executed Base,,,,Scores of,
"# GOE",J1 J2 J3 J4 J5,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 SlLi4  4.50  1.80,3 3 3 3 3,3 3,3 2,6.30,
2 STw2  4.60  1.46,3 2 3 3 2,2 3,2 2,6.06,
3 CiSt3  7.10  2.67,3 2 2 3 3,3 2,2 2,9.77,
4 CuLi4  4.50  0.51,1 0 0 0 3,1 1,1 2,5.01,
5 CoSp4  5.60  1.46,2 2 3 2 2,3 3,2 3,7.06,
6 RoLi4  4.50  1.54,2 3 3 2 2,2 3,3 3,6.04,
7 ChTw1  0.70  1.40,2 2 2 2 2,2 2,2 1,2.10,
8 DiSt3  7.10  2.36,2 3 2 3 2,2 2,2 2,9.46,
9 ChLi1  0.70  1.90,3 2 3 3 3,3 2,3 2,2.60,
39.30,,,,54.40,
Program Components Factor,,,,,
Skating Skills  1.20,9.50  9.25  9.75  9.50  8.75,9.25  9.50,9.50  9.25,9.39,
Transitions  1.20,9.50  9.00  9.50  9.50  8.75,9.25  9.50,9.25  9.00,9.29,
Performance  1.20,9.75  9.00  9.75  9.50  9.00,9.50  9.25,9.50  9.50,9.43,
Composition  1.20,9.50  9.25  9.50  9.75  8.75,9.50  9.50,9.50  9.50,9.46,
Interpretation of the Music / Timing  1.20,9.75  9.00  10.00  9.75  9.25,9.75  9.50,9.75  9.75,9.64,
Judges Total Program Component Score (factored),,,,56.66,
Deductions,,,,0.00,
Violation of choreography restrictions: (1 of 10),,,,,
ISU GP NHK Trophy 2016,,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,,
"",Starting Total,Total,Total,Total,
