Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Anna POGORILAYA,RUS,210.86,1,71.56,1,139.3,2016-11-27,gpjpn2016
2,Satoko MIYAHARA,JPN,198.0,3,64.2,2,133.8,2016-11-27,gpjpn2016
3,Maria SOTSKOVA,RUS,195.88,2,69.96,3,125.92,2016-11-27,gpjpn2016
4,Wakaba HIGUCHI,JPN,185.39,5,62.58,4,122.81,2016-11-27,gpjpn2016
5,Mirai NAGASU,USA,180.33,4,63.49,8,116.84,2016-11-27,gpjpn2016
6,Karen CHEN,USA,178.45,7,58.76,5,119.69,2016-11-27,gpjpn2016
7,Yura MATSUDA,JPN,178.26,6,60.98,7,117.28,2016-11-27,gpjpn2016
8,Elizabet TURSYNBAEVA,KAZ,175.11,9,55.66,6,119.45,2016-11-27,gpjpn2016
9,Dabin CHOI,KOR,165.63,11,51.06,9,114.57,2016-11-27,gpjpn2016
10,Alaine CHARTRAND,CAN,160.22,8,58.72,11,101.5,2016-11-27,gpjpn2016
11,Nicole RAJICOVA,SVK,159.7,10,53.43,10,106.27,2016-11-27,gpjpn2016
