Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Tessa VIRTUE / Scott MOIR,CAN,182.65,1,72.31,1,110.34,2012-04-01,wc2012
2,Meryl DAVIS / Charlie WHITE,USA,178.62,2,70.98,2,107.64,2012-04-01,wc2012
3,Nathalie PECHALAT / Fabian BOURZAT,FRA,173.18,3,69.13,3,104.05,2012-04-01,wc2012
4,Kaitlyn WEAVER / Andrew POJE,CAN,166.65,4,66.47,4,100.18,2012-04-01,wc2012
5,Elena ILINYKH / Nikita KATSALAPOV,RUS,161.0,5,65.34,5,95.66,2012-04-01,wc2012
6,Anna CAPPELLINI / Luca LANOTTE,ITA,160.62,6,65.11,6,95.51,2012-04-01,wc2012
7,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,150.75,9,58.29,7,92.46,2012-04-01,wc2012
8,Maia SHIBUTANI / Alex SHIBUTANI,USA,144.72,7,62.35,11,82.37,2012-04-01,wc2012
9,Ekaterina RIAZANOVA / Ilia TKACHENKO,RUS,144.43,10,58.19,8,86.24,2012-04-01,wc2012
10,Madison HUBBELL / Zachary DONOHUE,USA,143.95,8,59.56,10,84.39,2012-04-01,wc2012
11,Nelli ZHIGANSHINA / Alexander GAZSI,GER,141.36,11,56.29,9,85.07,2012-04-01,wc2012
12,Xintong HUANG / Xun ZHENG,CHN,130.27,13,51.35,13,78.92,2012-04-01,wc2012
13,Kharis RALPH / Asher HILL,CAN,129.55,15,50.75,14,78.8,2012-04-01,wc2012
14,Penny COOMES / Nicholas BUCKLAND,GBR,129.31,12,54.35,17,74.96,2012-04-01,wc2012
15,Siobhan HEEKIN-CANEDY / Dmitri DUN,UKR,128.75,17,48.7,12,80.05,2012-04-01,wc2012
16,Lorenza ALESSANDRINI / Simone VATURI,ITA,126.89,14,51.18,16,75.71,2012-04-01,wc2012
17,Julia ZLOBINA / Alexei SITNIKOV,AZE,126.57,19,48.15,15,78.42,2012-04-01,wc2012
18,Isabella TOBIAS / Deividas STAGNIUNAS,LTU,124.07,16,50.22,19,73.85,2012-04-01,wc2012
19,Sara HURTADO / Adria DIAZ,ESP,123.12,18,48.68,18,74.44,2012-04-01,wc2012
20,Danielle OBRIEN / Gregory MERRIMAN,AUS,112.23,20,47.92,20,64.31,2012-04-01,wc2012
21,Pernelle CARRON / Lloyd JONES,FRA,47.75,21,47.75,DNQ,DNQ,2012-04-01,wc2012
22,Irina SHTORK / Taavi RAND,EST,47.24,22,47.24,DNQ,DNQ,2012-04-01,wc2012
23,Zsuzsanna NAGY / Mate FEJES,HUN,45.7,23,45.7,DNQ,DNQ,2012-04-01,wc2012
24,Cathy REED / Chris REED,JPN,44.19,24,44.19,DNQ,DNQ,2012-04-01,wc2012
25,Anna NAGORNYUK / Viktor KOVALENKO,UZB,44.08,25,44.08,DNQ,DNQ,2012-04-01,wc2012
