Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Dan ZHANG / Hao ZHANG,CHN,179.14,1,59.9,1,119.24,2005-10-23,gpusa05
2,"Rena INOUE / John BALDWIN, jr.",USA,164.44,3,54.84,2,109.6,2005-10-23,gpusa05
3,Julia OBERTAS / Sergei SLAVNOV,RUS,160.4,4,54.04,4,106.36,2005-10-23,gpusa05
4,Elizabeth PUTNAM / Sean WIRTZ,CAN,154.42,7,47.2,3,107.22,2005-10-23,gpusa05
5,Marcy HINZMANN / Aaron PARCHEM,USA,154.3,2,55.0,6,99.3,2005-10-23,gpusa05
6,Jessica DUBE / Bryce DAVISON,CAN,152.2,6,47.9,5,104.3,2005-10-23,gpusa05
7,Rebecca HANDKE / Daniel WENDE,GER,133.84,5,48.7,7,85.14,2005-10-23,gpusa05
8,Marylin PLA / Yannick BONHEUR,FRA,130.48,8,47.2,8,83.28,2005-10-23,gpusa05
9,Amanda EVORA / Mark LADWIG,USA,128.02,9,45.28,9,82.74,2005-10-23,gpusa05
10,Julia BELOGLAZOVA / Andrei BEKH,UKR,109.82,10,36.84,10,72.98,2005-10-23,gpusa05
