Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Daisuke TAKAHASHI,JPN,218.54,1,69.1,1,149.44,2005-10-23,gpusa05
2,Evan LYSACEK,USA,193.71,3,67.75,3,125.96,2005-10-23,gpusa05
3,Brian JOUBERT,FRA,190.28,4,62.88,2,127.4,2005-10-23,gpusa05
4,Kevin VAN DER PERREN,BEL,185.09,2,68.79,4,116.3,2005-10-23,gpusa05
5,Yannick PONSERO,FRA,160.53,5,61.95,6,98.58,2005-10-23,gpusa05
6,Timothy GOEBEL,USA,154.68,6,58.72,8,95.96,2005-10-23,gpusa05
7,Dennis PHAN,USA,151.9,7,53.92,7,97.98,2005-10-23,gpusa05
8,Sergei DAVYDOV,BLR,147.13,8,52.71,10,94.42,2005-10-23,gpusa05
9,Christopher MABEE,CAN,147.0,11,42.4,5,104.6,2005-10-23,gpusa05
10,Lun SONG,CHN,145.92,9,51.5,11,94.42,2005-10-23,gpusa05
11,Kristoffer BERNTSSON,SWE,143.39,10,51.19,12,92.2,2005-10-23,gpusa05
12,Silvio SMALUN,GER,137.04,12,42.4,9,94.64,2005-10-23,gpusa05
