Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Tanith BELBIN / Benjamin AGOSTO,USA,190.45,1,36.73,1,58.37,1,95.35,2005-10-23,gpusa05
2,Isabelle DELOBEL / Olivier SCHOENFELDER,FRA,184.47,2,36.43,2,55.77,2,92.27,2005-10-23,gpusa05
3,Oksana DOMNINA / Maxim SHABALIN,RUS,169.23,3,32.41,3,51.5,3,85.32,2005-10-23,gpusa05
4,Megan WING / Aaron LOWE,CAN,159.31,4,31.49,5,48.12,4,79.7,2005-10-23,gpusa05
5,Jamie SILVERSTEIN / Ryan O'MEARA,USA,155.51,6,28.44,4,48.28,5,78.79,2005-10-23,gpusa05
6,Christina BEIER / William BEIER,GER,152.83,5,28.55,6,47.89,6,76.39,2005-10-23,gpusa05
7,Tiffany STIEGLER / Sergei MAGEROVSKI,USA,142.94,11,23.71,7,43.52,7,75.71,2005-10-23,gpusa05
8,Lauren SENFT / Leif GISLASON,CAN,139.19,7,25.59,9,40.21,8,73.39,2005-10-23,gpusa05
9,Ekaterina RUBLEVA / Ivan SHEFER,RUS,131.44,9,24.32,8,40.51,9,66.61,2005-10-23,gpusa05
10,Siobhan KARAM / Joshua McGRATH,CAN,129.84,10,24.04,11,39.55,10,66.25,2005-10-23,gpusa05
11,Laura MUNANA / Luke MUNANA,MEX,122.88,12,22.43,12,35.85,11,64.6,2005-10-23,gpusa05
12,Julia GOLOVINA / Oleg VOIKO,UKR,121.73,8,24.77,10,39.67,12,57.29,2005-10-23,gpusa05
