Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Tomas VERNER,CZE,230.31,3,74.1,1,156.21,2010-11-21,gprus2010
2,Patrick CHAN,CAN,227.21,1,81.96,2,145.25,2010-11-21,gprus2010
3,Jeremy ABBOTT,USA,217.21,2,77.61,4,139.6,2010-11-21,gprus2010
4,Samuel CONTESTI,ITA,207.3,9,65.69,3,141.61,2010-11-21,gprus2010
5,Alban PREAUBERT,FRA,204.68,5,70.5,5,134.18,2010-11-21,gprus2010
6,Artur GACHINSKI,RUS,202.94,4,72.41,7,130.53,2010-11-21,gprus2010
7,Yuzuru HANYU,JPN,202.66,6,70.24,6,132.42,2010-11-21,gprus2010
8,Ivan TRETIAKOV,RUS,189.85,10,65.61,8,124.24,2010-11-21,gprus2010
9,Javier FERNANDEZ,ESP,184.06,8,66.46,10,117.6,2010-11-21,gprus2010
10,Konstantin MENSHOV,RUS,181.15,7,67.34,12,113.81,2010-11-21,gprus2010
11,Tatsuki MACHIDA,JPN,177.01,12,56.37,9,120.64,2010-11-21,gprus2010
12,Anton KOVALEVSKI,UKR,175.54,11,60.05,11,115.49,2010-11-21,gprus2010
