Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Miki ANDO,JPN,174.47,5,54.0,1,120.47,2010-11-21,gprus2010
2,Akiko SUZUKI,JPN,172.74,1,57.43,2,115.31,2010-11-21,gprus2010
3,Ashley WAGNER,USA,167.02,3,56.17,3,110.85,2010-11-21,gprus2010
4,Agnes ZAWADZKI,USA,153.78,2,56.84,8,96.94,2010-11-21,gprus2010
5,Valentina MARCHEI,ITA,153.71,6,53.61,4,100.1,2010-11-21,gprus2010
6,Sofia BIRYUKOVA,RUS,153.05,4,54.99,5,98.06,2010-11-21,gprus2010
7,Ksenia MAKAROVA,RUS,150.45,8,52.93,6,97.52,2010-11-21,gprus2010
8,Myriane SAMSON,CAN,144.32,7,53.26,9,91.06,2010-11-21,gprus2010
9,Alena LEONOVA,RUS,144.06,9,46.61,7,97.45,2010-11-21,gprus2010
10,Elena GLEBOVA,EST,131.2,10,45.78,10,85.42,2010-11-21,gprus2010
