Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Yuko KAVAGUTI / Alexander SMIRNOV,RUS,182.7,1,61.91,1,120.79,2010-11-21,gprus2010
2,Narumi TAKAHASHI / Mervin TRAN,JPN,165.47,2,55.9,3,109.57,2010-11-21,gprus2010
3,Amanda EVORA / Mark LADWIG,USA,162.85,4,52.58,2,110.27,2010-11-21,gprus2010
4,Katarina GERBOLDT / Alexander ENBERT,RUS,160.42,3,53.62,4,106.8,2010-11-21,gprus2010
5,Paige LAWRENCE / Rudi SWIEGERS,CAN,154.67,5,51.67,5,103.0,2010-11-21,gprus2010
6,Stefania BERTON / Ondrej HOTAREK,ITA,150.85,7,49.78,6,101.07,2010-11-21,gprus2010
7,Britney SIMPSON / Nathan MILLER,USA,145.78,6,50.28,7,95.5,2010-11-21,gprus2010
8,Tatiana NOVIK / Mikhail KUZNETSOV,RUS,136.85,8,45.48,8,91.37,2010-11-21,gprus2010
