Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Akiko SUZUKI,JPN,176.66,4,59.52,1,117.14,2009-11-01,gpchn09
2,Kiira KORPI,FIN,163.27,2,61.2,3,102.07,2009-11-01,gpchn09
3,Joannie ROCHETTE,CAN,163.18,7,52.12,2,111.06,2009-11-01,gpchn09
4,Rachael FLATT,USA,157.71,5,58.8,5,98.91,2009-11-01,gpchn09
5,Mirai NAGASU,USA,155.38,1,62.2,6,93.18,2009-11-01,gpchn09
6,Carolina KOSTNER,ITA,154.18,3,61.12,7,93.06,2009-11-01,gpchn09
7,Fumie SUGURI,JPN,145.99,6,55.46,8,90.53,2009-11-01,gpchn09
8,Diane SZMIETT,CAN,144.28,11,44.24,4,100.04,2009-11-01,gpchn09
9,Yan LIU,CHN,132.8,8,51.28,9,81.52,2009-11-01,gpchn09
10,Beatrisa LIANG,USA,131.39,9,50.76,10,80.63,2009-11-01,gpchn09
11,Bingwa GENG,CHN,121.2,10,47.64,11,73.56,2009-11-01,gpchn09
WD,Binshu XU,CHN,37.08,12,37.08,WD,WD,2009-11-01,gpchn09
