Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Nobunari ODA,JPN,239.58,1,83.35,1,156.23,2009-11-01,gpchn09
2,Evan LYSACEK,USA,232.17,3,80.8,2,151.37,2009-11-01,gpchn09
3,Sergei VORONOV,RUS,220.39,2,81.4,3,138.99,2009-11-01,gpchn09
4,Samuel CONTESTI,ITA,207.85,4,72.08,4,135.77,2009-11-01,gpchn09
5,Yannick PONSERO,FRA,195.12,6,66.65,6,128.47,2009-11-01,gpchn09
6,Stephen CARRIERE,USA,195.08,7,65.24,5,129.84,2009-11-01,gpchn09
7,Chao YANG,CHN,189.99,8,65.1,8,124.89,2009-11-01,gpchn09
8,Kevin REYNOLDS,CAN,188.47,11,60.12,7,128.35,2009-11-01,gpchn09
9,Jinlin GUAN,CHN,187.95,5,66.7,9,121.25,2009-11-01,gpchn09
10,Denis TEN,KAZ,182.63,9,64.05,10,118.58,2009-11-01,gpchn09
11,Armin MAHBANOOZADEH,USA,176.53,12,59.54,11,116.99,2009-11-01,gpchn09
12,Ming XU,CHN,163.57,10,61.02,12,102.55,2009-11-01,gpchn09
