Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Yu-Na KIM,KOR,184.2,3,65.06,1,119.14,2006-12-17,gpf0607
2,Mao ASADA,JPN,172.52,1,69.34,4,103.18,2006-12-17,gpf0607
3,Sarah MEIER,SUI,170.28,4,59.46,2,110.82,2006-12-17,gpf0607
4,Fumie SUGURI,JPN,158.78,5,55.14,3,103.64,2006-12-17,gpf0607
5,Miki ANDO,JPN,157.32,2,67.52,6,89.8,2006-12-17,gpf0607
6,Julia SEBESTYEN,HUN,142.69,6,49.4,5,93.29,2006-12-17,gpf0607
