LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
1 Yu-Na KIM,KOR,,119.14  61.78,,,57.36,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3F+3T  9.50  1.20,1 1 1 2,,1 2 1 2,,1,1 - -,10.70
2 2A  3.30  0.20,0 -1 0 1,,0 1 0 2,,0,0 - -,3.50
3 LSp3  2.40  0.50,1 1 1 1,,1 0 1 1,,0,1 - -,2.90
4 3Lz  6.00  0.60,0 0 1 1,,0 1 0 1,,1,1 - -,6.60
5 CSp4  2.40  0.50,0 1 0 1,,1 0 1 1,,1,1 - -,2.90
6 SlSt2  2.30  0.40,0 0 1 1,,1 0 0 1,,1,1 - -,2.70
7 3Lz+2T+2Lo  9.68 x  0.00,0 0 0 0,,0 0 -1 0,,0,0 - -,9.68
8 FSSp4  3.00 -0.24,0 0 -1 -1,,-1 0 -1 0,,-1,-1 - -,2.76
9 2A  3.63 x -1.40,-2 -2 -1 -1,,-2 -2 -2 -2,,-2,-2 - -,2.23
10 3S+2T  6.38 x  0.60,1 0 1 1,,0 1 1 1,,0,1 - -,6.98
11 SpSq4  3.40  0.40,1 1 1 0,,0 0 1 0,,0,1 - -,3.80
12 2A  3.63 x  0.20,0 0 1 0,,0 1 0 1,,0,1 - -,3.83
13 CCoSp3  3.00  0.20,1 -1 1 0,,1 0 1 0,,1,0 - -,3.20
58.62,,,,,,,61.78
Program Components Factor,,,,,,,
Skating Skills  1.60,7.50 7.25 7.50 7.25,,7.25 7.50 7.25 7.25,,7.25,7.75 - -,7.25
Transition / Linking Footwork  1.60,7.00 7.00 6.50 7.50,,6.50 7.00 6.75 7.00,,6.75,7.50 - -,7.00
Performance / Execution  1.60,7.25 7.00 7.00 7.25,,7.00 7.25 7.00 7.00,,7.25,7.50 - -,7.10
Choreography / Composition  1.60,7.50 7.25 7.25 7.25,,6.75 7.00 7.00 7.50,,7.25,7.75 - -,7.25
Interpretation  1.60,7.25 7.25 7.25 7.50,,7.00 7.00 7.00 7.25,,7.25,7.75 - -,7.25
Judges Total Program Component Score (factored),,,,,,,57.36
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
2 Sarah MEIER,SUI,,110.82  56.82,,,54.00,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lz+2T+2Lo  8.80  1.00,1 0 0 1,,1 1 1 1,,1,1 - -,9.80
2 3F+2T  6.80  0.80,1 0 -1 1,,1 1 1 1,,0,1 - -,7.60
3 3F  5.50  0.60,0 0 -1 1,,1 1 0 1,,0,1 - -,6.10
4 CCoSp4  3.50  0.50,1 0 1 1,,2 1 1 1,,1,1 - -,4.00
5 CUSp4  3.00  0.20,0 0 0 0,,0 1 1 1,,0,1 - -,3.20
6 2Lz  2.09 x -0.24,-1 -2 -1 0,,-1 -1 -1 0,,-2,0 - -,1.85
7 SpSq4  3.40  1.00,1 1 1 1,,1 0 1 1,,0,1 - -,4.40
8 2A  3.63 x  0.00,0 0 1 0,,0 1 0 1,,0,0 - -,3.63
9 3S  4.95 x  0.00,0 0 0 0,,0 0 0 0,,0,0 - -,4.95
10 FSSp4  3.00  0.40,1 1 0 1,,2 1 1 0,,0,1 - -,3.40
11 SlSt3  3.10  0.10,1 0 1 0,,1 0 0 0,,0,1 - -,3.20
12 2T+2T+SEQ  2.29 x -0.60,-2 -2 -2 -2,,-2 -2 -1 -2,,-2,-2 - -,1.69
14 CoSp4  3.00  0.00,0 0 1 0,,0 1 0 0,,0,0 - -,3.00
53.06,,,,,,,56.82
Program Components Factor,,,,,,,
Skating Skills  1.60,7.25 6.75 6.50 7.00,,7.00 7.25 7.00 6.50,,6.75,6.75 - -,6.85
Transition / Linking Footwork  1.60,6.75 6.50 6.00 6.50,,6.75 7.25 6.50 6.25,,6.50,6.50 - -,6.50
