Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Javier FERNANDEZ,ESP,274.87,2.0,88.8,1,186.07,2013-01-27,ec2013
2,Florent AMODIO,FRA,250.53,1.0,89.82,3,160.71,2013-01-27,ec2013
3,Michal BREZINA,CZE,243.52,4.0,79.84,2,163.68,2013-01-27,ec2013
4,Brian JOUBERT,FRA,232.47,3.0,83.93,5,148.54,2013-01-27,ec2013
5,Maxim KOVTUN,RUS,226.57,7.0,74.46,4,152.11,2013-01-27,ec2013
6,Alexander MAJOROV,SWE,211.88,8.0,74.29,6,137.59,2013-01-27,ec2013
7,Sergei VORONOV,RUS,210.18,5.0,78.38,7,131.8,2013-01-27,ec2013
8,Viktor PFEIFER,AUT,194.77,10.0,67.34,9,127.43,2013-01-27,ec2013
9,Chafik BESSEGHIER,FRA,189.67,11.0,66.93,10,122.74,2013-01-27,ec2013
10,Peter LIEBERS,GER,187.96,17.0,56.67,8,131.29,2013-01-27,ec2013
11,Tomas VERNER,CZE,177.41,9.0,68.99,19,108.42,2013-01-27,ec2013
12,Kim LUCINE,MON,175.61,12.0,63.27,16,112.34,2013-01-27,ec2013
13,Pavel IGNATENKO,BLR,171.18,14.0,58.38,15,112.8,2013-01-27,ec2013
14,Alexei BYCHENKO,ISR,171.12,18.0,56.42,12,114.7,2013-01-27,ec2013
15,Yakov GODOROZHA,UKR,170.29,15.0,57.44,14,112.85,2013-01-27,ec2013
16,Javier RAYA,ESP,169.58,19.0,54.21,11,115.37,2013-01-27,ec2013
17,Viktor ROMANENKOV,EST,167.98,13.0,59.66,20,108.32,2013-01-27,ec2013
18,Zoltan KELEMEN,ROU,167.33,16.0,57.44,18,109.89,2013-01-27,ec2013
19,Maciej CIEPLUCHA,POL,167.29,23.0,52.84,13,114.45,2013-01-27,ec2013
20,Stephane WALKER,SUI,163.11,24.0,50.93,17,112.18,2013-01-27,ec2013
21,Justus STRID,DEN,160.08,22.0,53.14,21,106.94,2013-01-27,ec2013
22,Manol ATANASSOV,BUL,133.21,21.0,53.58,22,79.63,2013-01-27,ec2013
WD,Evgeni PLUSHENKO,RUS,74.82,6.0,74.82,WD,WD,2013-01-27,ec2013
WD,Pavel KASKA,CZE,53.76,20.0,53.76,WD,WD,2013-01-27,ec2013
25,Paolo BACCHINI,ITA,50.68,25.0,50.68,DNQ,DNQ,2013-01-27,ec2013
26,Valtter VIRTANEN,FIN,48.41,26.0,48.41,DNQ,DNQ,2013-01-27,ec2013
27,Harry MATTICK,GBR,48.08,27.0,48.08,DNQ,DNQ,2013-01-27,ec2013
28,Saulius AMBRULEVICIUS,LTU,43.85,28.0,43.85,DNQ,DNQ,2013-01-27,ec2013
29,Ali DEMIRBOGA,TUR,43.47,29.0,43.47,DNQ,DNQ,2013-01-27,ec2013
30,Paul Bonifacio PARKINSON,ITA,40.35,30.0,40.35,DNQ,DNQ,2013-01-27,ec2013
