Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,169.25,1,69.42,2,99.83,2013-01-27,ec2013
2,Elena ILINYKH / Nikita KATSALAPOV,RUS,169.14,2,68.98,1,100.16,2013-01-27,ec2013
3,Anna CAPPELLINI / Luca LANOTTE,ITA,165.8,3,66.53,3,99.27,2013-01-27,ec2013
4,Ekaterina RIAZANOVA / Ilia TKACHENKO,RUS,157.77,4,64.52,4,93.25,2013-01-27,ec2013
5,Penny COOMES / Nicholas BUCKLAND,GBR,152.95,6,60.59,5,92.36,2013-01-27,ec2013
6,Nelli ZHIGANSHINA / Alexander GAZSI,GER,147.28,7,60.08,6,87.2,2013-01-27,ec2013
7,Julia ZLOBINA / Alexei SITNIKOV,AZE,144.83,5,60.93,10,83.9,2013-01-27,ec2013
8,Tanja KOLBE / Stefano CARUSO,GER,142.54,9,56.54,7,86,2013-01-27,ec2013
9,Charlene GUIGNARD / Marco FABBRI,ITA,142.48,8,57.63,8,84.85,2013-01-27,ec2013
10,Pernelle CARRON / Lloyd JONES,FRA,140,10,55.85,9,84.15,2013-01-27,ec2013
11,Irina SHTORK / Taavi RAND,EST,132.9,14,50.51,11,82.39,2013-01-27,ec2013
12,Siobhan HEEKIN-CANEDY / Dmitri DUN,UKR,129.36,11,53.58,13,75.78,2013-01-27,ec2013
13,Alisa AGAFONOVA / Alper UCAR,TUR,127.59,12,50.79,12,76.8,2013-01-27,ec2013
14,Lucie MYSLIVECKOVA / Neil BROWN,CZE,124.62,13,50.52,15,74.1,2013-01-27,ec2013
15,Sara HURTADO / Adria DIAZ,ESP,124.26,15,49.32,14,74.94,2013-01-27,ec2013
16,Zsuzsanna NAGY / Mate FEJES,HUN,117.6,16,48.48,17,69.12,2013-01-27,ec2013
17,Federica TESTA / Lukas CSOLLEY,SVK,114.62,19,44.83,16,69.79,2013-01-27,ec2013
18,Ramona ELSENER / Florian ROOST,SUI,113.29,17,45.09,18,68.2,2013-01-27,ec2013
19,Olesia KARMI / Max LINDHOLM,FIN,110.92,20,44.29,19,66.63,2013-01-27,ec2013
20,Angelina TELEGINA / Otar JAPARIDZE,GEO,107.26,18,44.94,20,62.32,2013-01-27,ec2013
21,Alexandra ZVORIGINA / Maciej BERNADOWSKI,POL,44.25,21,44.25,DNQ,DNQ,2013-01-27,ec2013
22,Charlotte AIKEN / Josh WHIDBORNE,GBR,41.83,22,41.83,DNQ,DNQ,2013-01-27,ec2013
23,Kira GEIL / Tobias EISENBAUER,AUT,40.88,23,40.88,DNQ,DNQ,2013-01-27,ec2013
24,Lesia VOLODENKOVA / Vitali VAKUNOV,BLR,36.6,24,36.6,DNQ,DNQ,2013-01-27,ec2013
25,Sarah COWARD / Georgi KENCHADZE,BUL,34.16,25,34.16,DNQ,DNQ,2013-01-27,ec2013
WD,Allison REED / Vasili ROGOV,ISR,WD,WD,WD,WD,WD,2013-01-27,ec2013
