Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,ec2018,2018-01-21,Javier FERNANDEZ,ESP,295.54999999999995,1,103.82,1,191.73
2,ec2018,2018-01-21,Dmitri ALIEV,RUS,274.06,2,91.33,2,182.73
3,ec2018,2018-01-21,Mikhail KOLYADA,RUS,258.9,4,83.41,3,175.49
4,ec2018,2018-01-21,Deniss VASILJEVS,LAT,243.51999999999998,3,85.11,5,158.41
5,ec2018,2018-01-21,Alexei BYCHENKO,ISR,238.44,8,74.97,4,163.47
6,ec2018,2018-01-21,Alexander SAMARIN,RUS,229.81,9,74.25,6,155.56
7,ec2018,2018-01-21,Alexander MAJOROV,SWE,225.86,12,71.28,7,154.58
8,ec2018,2018-01-21,Michal BREZINA,CZE,225.2,10,72.72,8,152.48
9,ec2018,2018-01-21,Matteo RIZZO,ITA,219.43,6,78.26,9,141.17
10,ec2018,2018-01-21,Jorik HENDRICKX,BEL,218.17000000000002,5,78.56,12,139.61
11,ec2018,2018-01-21,Chafik BESSEGHIER,FRA,211.17,13,70.35,10,140.82
12,ec2018,2018-01-21,Moris KVITELASHVILI,GEO,210.46999999999997,7,76.74,14,133.73
13,ec2018,2018-01-21,Phillip HARRIS,GBR,208.21999999999997,15,67.77,11,140.45
14,ec2018,2018-01-21,Romain PONSART,FRA,200.72000000000003,20,61.45,13,139.27
15,ec2018,2018-01-21,Slavik HAYRAPETYAN,ARM,196.63,14,69.49,16,127.14
16,ec2018,2018-01-21,Paul FENTZ,GER,194.97000000000003,11,72.54,17,122.43
17,ec2018,2018-01-21,Irakli MAYSURADZE,GEO,191.22,18,63.69,15,127.53
18,ec2018,2018-01-21,Stephane WALKER,SUI,185.41,16,65.96,20,119.45
19,ec2018,2018-01-21,Valtter VIRTANEN,FIN,181.77,24,60.23,18,121.54
20,ec2018,2018-01-21,Felipe MONTOYA,ESP,181.72,22,61.23,19,120.49
21,ec2018,2018-01-21,Daniel Albert NAURITS,EST,176.1,23,60.76,21,115.34
22,ec2018,2018-01-21,Sondre ODDVOLL BOE,NOR,170.64000000000001,19,61.85,22,108.79
23,ec2018,2018-01-21,Burak DEMIRBOGA,TUR,167.22,21,61.27,23,105.95
24,ec2018,2018-01-21,Igor REZNICHENKO,POL,165.65,17,63.96,24,101.69
25,ec2018,2018-01-21,Yaroslav PANIOT,UKR,60.07,25,60.07,DNQ,DNQ
26,ec2018,2018-01-21,Daniel SAMOHIN,ISR,59.18,26,59.18,DNQ,DNQ
27,ec2018,2018-01-21,Nicholas VRDOLJAK,CRO,58.3,27,58.3,DNQ,DNQ
28,ec2018,2018-01-21,Jiri BELOHRADSKY,CZE,58.3,28,58.3,DNQ,DNQ
29,ec2018,2018-01-21,Michael NEUMAN,SVK,57.44,29,57.44,DNQ,DNQ
30,ec2018,2018-01-21,Thomas KENNES,NED,54.65,30,54.65,DNQ,DNQ
31,ec2018,2018-01-21,Davide LEWTON BRAIN,MON,54.64,31,54.64,DNQ,DNQ
32,ec2018,2018-01-21,Larry LOUPOLOVER,AZE,52.44,32,52.44,DNQ,DNQ
33,ec2018,2018-01-21,Alexander MASZLJANKO,HUN,52.01,33,52.01,DNQ,DNQ
34,ec2018,2018-01-21,Nicky OBREYKOV,BUL,50.24,34,50.24,DNQ,DNQ
35,ec2018,2018-01-21,Yakau ZENKO,BLR,47.26,35,47.26,DNQ,DNQ
36,ec2018,2018-01-21,Conor STAKELUM,IRL,43.05,36,43.05,DNQ,DNQ
