Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,ec2018,2018-01-21,Evgenia TARASOVA / Vladimir MOROZOV,RUS,221.6,5,70.37,1,151.23
2,ec2018,2018-01-21,Ksenia STOLBOVA / Fedor KLIMOV,RUS,211.01,3,72.05,2,138.96
3,ec2018,2018-01-21,Natalia ZABIIAKO / Alexander ENBERT,RUS,210.18,2,72.95,3,137.23
4,ec2018,2018-01-21,Vanessa JAMES / Morgan CIPRES,FRA,210.17000000000002,1,75.52,4,134.65
5,ec2018,2018-01-21,Valentina MARCHEI / Ondrej HOTAREK,ITA,204.2,4,71.89,5,132.31
6,ec2018,2018-01-21,Nicole DELLA MONICA / Matteo GUARISE,ITA,192.38,6,64.53,6,127.85
7,ec2018,2018-01-21,Miriam ZIEGLER / Severin KIEFER,AUT,181.75,7,63.94,7,117.81
8,ec2018,2018-01-21,Annika HOCKE / Ruben BLOMMAERT,GER,170.20999999999998,9,57.05,8,113.16
9,ec2018,2018-01-21,Paige CONNERS / Evgeni KRASNOPOLSKI,ISR,163.55,10,52.32,9,111.23
10,ec2018,2018-01-21,Lola ESBRAT / Andrei NOVOSELOV,FRA,160.47,8,57.48,10,102.99
11,ec2018,2018-01-21,Laura BARQUERO / Aritz MAESTU,ESP,152.08,11,51.46,11,100.62
12,ec2018,2018-01-21,Lana PETRANOVIC / Antonio SOUZA-KORDERU,CRO,134.97,13,45.72,12,89.25
13,ec2018,2018-01-21,Ioulia CHTCHETININA / Mikhail AKULOV,SUI,130.09,12,46.57,13,83.52
14,ec2018,2018-01-21,Sofiya KARAGODINA / Semyon STEPANOV,AZE,117.95,14,41.58,14,76.37
