Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,ec2018,2018-01-21,Gabriella PAPADAKIS / Guillaume CIZERON,FRA,203.16000000000003,1,81.29,1,121.87
2,ec2018,2018-01-21,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,187.13,4,74.43,2,112.7
3,ec2018,2018-01-21,Alexandra STEPANOVA / Ivan BUKIN,RUS,184.86,2,75.38,3,109.48
4,ec2018,2018-01-21,Anna CAPPELLINI / Luca LANOTTE,ITA,180.65,3,74.76,5,105.89
5,ec2018,2018-01-21,Charlene GUIGNARD / Marco FABBRI,ITA,177.75,5,71.58,4,106.17
6,ec2018,2018-01-21,Tiffani ZAGORSKI / Jonathan GUERREIRO,RUS,168.45,8,65.35,6,103.1
7,ec2018,2018-01-21,Penny COOMES / Nicholas BUCKLAND,GBR,168.42000000000002,6,69.45,9,98.97
8,ec2018,2018-01-21,Sara HURTADO / Kirill KHALIAVIN,ESP,165.03,7,66.6,10,98.43
9,ec2018,2018-01-21,Laurence FOURNIER BEAUDRY / Nikolaj SORENSEN,DEN,164.9,9,65.03,7,99.87
10,ec2018,2018-01-21,Natalia KALISZEK / Maksym SPODYRIEV,POL,164.48000000000002,10,64.8,8,99.68
11,ec2018,2018-01-21,Alexandra NAZAROVA / Maxim NIKITIN,UKR,156.35000000000002,11,63.2,12,93.15
12,ec2018,2018-01-21,Marie-Jade LAURIAULT / Romain LE GAC,FRA,154.04,14,58.99,11,95.05
13,ec2018,2018-01-21,Alisa AGAFONOVA / Alper UCAR,TUR,152.1,12,59.3,13,92.8
14,ec2018,2018-01-21,Anna YANOVSKAYA / Adam LUKACS,HUN,148.69,13,59.13,14,89.56
15,ec2018,2018-01-21,Cecilia TÖRN / Jussiville PARTANEN,FIN,145.6,16,57.73,15,87.87
16,ec2018,2018-01-21,Angelique ABACHKINA / Louis THAURON,FRA,139.74,15,58.14,17,81.6
17,ec2018,2018-01-21,Lucie MYSLIVECKOVA / Lukas CSOLLEY,SVK,136.51,17,54.71,16,81.8
18,ec2018,2018-01-21,Jasmine TESSARI / Francesco FIORETTI,ITA,133.0,18,54.25,19,78.75
19,ec2018,2018-01-21,Tina GARABEDIAN / Simon PROULX SENECAL,ARM,131.3,20,51.77,18,79.53
20,ec2018,2018-01-21,Viktoria KAVALIOVA / Yurii BIELIAIEV,BLR,128.38,19,53.64,20,74.74
21,ec2018,2018-01-21,Justyna PLUTOWSKA / Jeremie FLEMIN,POL,49.91,21,49.91,DNQ,DNQ
22,ec2018,2018-01-21,Darya POPOVA / Volodymyr BYELIKOV,UKR,46.68,22,46.68,DNQ,DNQ
23,ec2018,2018-01-21,Victoria MANNI / Carlo RÖTHLISBERGER,SUI,46.3,23,46.3,DNQ,DNQ
24,ec2018,2018-01-21,Guoste DAMULEVICIUTE / Deividas KIZALA,LTU,45.12,24,45.12,DNQ,DNQ
25,ec2018,2018-01-21,Cortney MANSOUROVA / Michal CESKA,CZE,43.37,25,43.37,DNQ,DNQ
26,ec2018,2018-01-21,Teodora MARKOVA / Simon DAZE,BUL,41.99,26,41.99,DNQ,DNQ
27,ec2018,2018-01-21,Katerina BUNINA / German FROLOV,EST,41.53,27,41.53,DNQ,DNQ
28,ec2018,2018-01-21,Adel TANKOVA / Ronald ZILBERBERG,ISR,40.2,28,40.2,DNQ,DNQ
29,ec2018,2018-01-21,Aurelija IPOLITO / Malcolm JONES,LAT,37.47,29,37.47,DNQ,DNQ
30,ec2018,2018-01-21,Malin MALMBERG / Thomas NORDAHL,SWE,34.95,30,34.95,DNQ,DNQ
