Rank,Event,Date,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score
1,ec2018,2018-01-21,Alina ZAGITOVA,RUS,238.24,1,80.27,1,157.97
2,ec2018,2018-01-21,Evgenia MEDVEDEVA,RUS,232.85999999999999,2,78.57,2,154.29
3,ec2018,2018-01-21,Carolina KOSTNER,ITA,204.25,3,78.3,4,125.95
4,ec2018,2018-01-21,Maria SOTSKOVA,RUS,200.81,4,68.7,3,132.11
5,ec2018,2018-01-21,Loena HENDRICKX,BEL,176.91,8,55.13,5,121.78
6,ec2018,2018-01-21,Nicole RAJICOVA,SVK,171.9,5,61.01,6,110.89
7,ec2018,2018-01-21,Alexia PAGANINI,SUI,161.62,9,54.95,9,106.67
8,ec2018,2018-01-21,Mae Berenice MEITE,FRA,159.7,10,54.14,10,105.56
9,ec2018,2018-01-21,Emmi PELTONEN,FIN,159.48,11,52.68,8,106.8
10,ec2018,2018-01-21,Nicole SCHOTT,GER,157.84,18,48.37,7,109.47
11,ec2018,2018-01-21,Laurine LECAVELIER,FRA,154.11,7,55.36,12,98.75
12,ec2018,2018-01-21,Eliska BREZINOVA,CZE,149.69,12,52.06,14,97.63
13,ec2018,2018-01-21,Ivett TOTH,HUN,148.98000000000002,15,50.7,13,98.28
14,ec2018,2018-01-21,Viveca LINDFORS,FIN,147.89,14,51.62,17,96.27
15,ec2018,2018-01-21,Micol CRISTINI,ITA,147.8,19,48.22,11,99.58
16,ec2018,2018-01-21,Lea Johanna DASTICH,GER,146.82,16,49.89,15,96.93
17,ec2018,2018-01-21,Anita ÖSTLUND,SWE,145.14,6,56.04,20,89.1
18,ec2018,2018-01-21,Anne Line GJERSEM,NOR,142.68,17,48.7,18,93.98
19,ec2018,2018-01-21,Giada RUSSO,ITA,142.38,23,45.81,16,96.57
20,ec2018,2018-01-21,Dasa GRM,SLO,137.31,20,47.4,19,89.91
21,ec2018,2018-01-21,Pernille SORENSEN,DEN,133.94,24,45.76,21,88.18
22,ec2018,2018-01-21,Elzbieta KROPA,LTU,133.87,21,46.06,22,87.81
23,ec2018,2018-01-21,Anna KHNYCHENKOVA,UKR,132.7,13,51.84,23,80.86
24,ec2018,2018-01-21,Silvia HUGEC,SVK,123.44999999999999,22,45.98,24,77.47
25,ec2018,2018-01-21,Kristina SHKULETA-GROMOVA,EST,45.74,25,45.74,DNQ,DNQ
26,ec2018,2018-01-21,Kyarha VAN TIEL,NED,45.28,26,45.28,DNQ,DNQ
27,ec2018,2018-01-21,Natasha MCKAY,GBR,45.12,27,45.12,DNQ,DNQ
28,ec2018,2018-01-21,Fruzsina MEDGYESI,HUN,44.71,28,44.71,DNQ,DNQ
29,ec2018,2018-01-21,Julia SAUTER,ROU,44.57,29,44.57,DNQ,DNQ
30,ec2018,2018-01-21,Natalie KLOTZ,AUT,43.53,30,43.53,DNQ,DNQ
31,ec2018,2018-01-21,Matilda ALGOTSSON,SWE,43.28,31,43.28,DNQ,DNQ
32,ec2018,2018-01-21,Sila SAYGI,TUR,43.05,32,43.05,DNQ,DNQ
33,ec2018,2018-01-21,Valentina MATOS,ESP,39.66,33,39.66,DNQ,DNQ
34,ec2018,2018-01-21,Elzbieta GABRYSZAK,POL,38.0,34,38.0,DNQ,DNQ
35,ec2018,2018-01-21,Kim CHEREMSKY,AZE,37.61,35,37.61,DNQ,DNQ
36,ec2018,2018-01-21,Diana NIKITINA,LAT,36.71,36,36.71,DNQ,DNQ
37,ec2018,2018-01-21,Antonina DUBININA,SRB,36.69,37,36.69,DNQ,DNQ
38,ec2018,2018-01-21,Aimee BUCHANAN,ISR,33.87,38,33.87,DNQ,DNQ
39,ec2018,2018-01-21,Presiyana DIMITROVA,BUL,24.76,39,24.76,DNQ,DNQ
