ISU European Figure Skating Championships 2018,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
1 Javier FERNANDEZ ESP  23  191.73,,96.59,95.14,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5In fo",,J6 J7,J8 J9 Ref,,Info
Elements Value,,,,Panel,
1 4T  10.30  2.43 1 2 3 2 3,,3 3,2 2,12.73,
2 4S+3T  14.80  2.29 2 1 2 3 3,,3 2,1 3,17.09,
3 3A+2T  9.80  0.00 0 -1 2 0 0,,1 0,0 -1,9.80,
4 ChSq1  2.00  1.80 2 3 3 3 2,,3 3,1 2,3.80,
5 CSSp4  3.00  0.86 1 2 1 3 2,,1 2,2 2,3.86,
6 3S  4.84 x -1.50 -3 -3 -2 -3 -1,,-2 -1,-2 -2,3.34,
7 3Lo  5.61 x  1.50 2 2 2 3 2,,2 3,2 2,7.11,
8 3A  9.35 x  2.00 2 1 2 2 2,,2 2,2 2,11.35,
9 3F<< !  2.09 x -0.90 -3 -3 -3 -3 -3,,-3 -3,-2 -3,1.19,
10 3Lz+1Lo+3S  11.99 x  0.90 1 1 2 2 2,,1 1,1 1,12.89,
11 FCCoSp4  3.50  0.13 -1 -1 1 1 1,,0 -1,0 1,3.63,
12 StSq4  3.90  1.90 2 2 3 3 3,,2 3,3 3,5.80,
13 CCoSp3  3.00  1.00 2 2 2 2 2,,2 2,3 2,4.00,
84.18,,,,96.59,
Program Components Factor,,,,,
Skating Skills  2.00 9.00 9.50 9.75 9.75 9.50,,9.25 9.50,9.75 9.25,9.50,
Transitions  2.00 9.25 9.25 9.50 9.25 9.50,,9.25 9.50,9.75 9.25,9.36,
Performance  2.00 8.75 9.25 9.75 9.75 9.50,,9.50 9.25,9.75 9.25,9.46,
Composition  2.00 9.50 9.50 9.75 9.50 9.75,,9.75 9.50,10.00 9.50,9.61,
Interpretation of the Music  2.00 9.50 9.50 10.00 9.75 9.50,,9.25 9.75,10.00 9.50,9.64,
Judges Total Program Component Score (factored),,,,95.14,
Deductions,,,,0.00,
"<<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1!  Not clear edge",,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
2 Dmitri ALIEV RUS  24  182.73,,95.29,87.44,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 4T+3T  14.60  2.43 3 2 2 2 3,,3 2,2 3,17.03,
2 4T  10.30  2.14 2 1 2 2 3,,2 2,2 3,12.44,
3 3A  8.50  1.14 1 1 1 1 1,,0 1,3 2,9.64,
4 FCSp4  3.20  0.71 1 1 1 1 2,,2 1,2 2,3.91,
5 ChSq1  2.00  1.40 2 2 1 3 2,,2 1,2 3,3.40,
6 3Lz  6.60 x  1.40 2 2 1 2 2,,2 2,2 2,8.00,
7 3A+2T  10.78 x  0.29 0 0 0 0 1,,0 1,0 1,11.07,
8 3Lo+1Lo+3S  11.00 x  0.60 1 1 1 0 1,,1 1,0 2,11.60,
9 2F  2.09 x  0.04 0 1 0 0 1,,0 0,0 0,2.13,
10 2A  3.63 x  0.29 0 1 0 0 2,,0 1,1 1,3.92,
11 StSq4  3.90  1.50 2 2 2 2 3,,2 2,3 2,5.40,
12 CCoSp4  3.50  0.36 1 2 1 0 1,,0 0,1 1,3.86,
13 CSSp3  2.60  0.29 0 1 1 0 1,,0 -1,1 1,2.89,
82.70,,,,95.29,
Program Components Factor,,,,,
