ISU GP NHK Trophy 2012,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Akiko SUZUKI JPN  5,126.62  64.51,,62.11,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3Lz+2T+2Lo e  9.10 -0.10 0 0 0,-1 1 -1 0,,1 -1,9.00,
2 2A+3T  7.40  0.80 2 1 2,1 1 1 1,,1 1,8.20,
3 3F  5.30  0.20 1 0 1,1 0 -1 -1,,1 0,5.50,
4 FCSp4  3.20  0.14 1 0 0,1 0 -1 0,,1 0,3.34,
"",,,Info,,Info
5 StSq3  3.30  1.00 2 2 1,2 2 2 2,,2 2,4.30,
6 CCoSp4  3.50  0.64 2 1 1,1 2 1 2,,1 1,4.14,
7 3Lz e  6.60 x -0.40 0 -1 0,-1 1 -1 -2,,0 -1,6.20,
8 3Lo+2T  7.04 x  0.60 1 0 1,1 1 0 1,,1 1,7.64,
9 3S  4.62 x  0.80 2 0 1,1 1 1 1,,2 1,5.42,
10 3Lo< <  3.96 x -1.10 -2 -2 -1,-1 -1 -2 -2,,3 -2,2.86,
11 ChSq1  2.00  1.70 2 2 2,3 3 3 3,,2 2,3.70,
12 FCCoSp4  3.50  0.71 1 2 1,1 2 1 1,,2 2,4.21,
59.52,,,,64.51,
Program Components Factor,,,,,
Skating Skills  1.60 7.75 7.75 7.75,7.25 8.75 8.00 7.50,,8.50 7.50,7.82,
Transition / Linking Footwork  1.60 7.50 6.75 7.50,7.00 8.00 7.75 6.50,,8.00 7.25,7.39,
Performance / Execution  1.60 8.25 7.00 7.75,7.75 9.25 7.75 7.75,,8.50 7.75,7.93,
Choreography / Composition  1.60 8.00 7.50 7.50,7.50 9.00 8.00 8.25,,8.00 7.75,7.86,
Interpretation  1.60 7.75 7.50 7.75,7.75 9.25 8.00 7.25,,8.25 7.75,7.82,
Judges Total Program Component Score (factored),,,,62.11,
Deductions:,,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Mao ASADA JPN  9,117.32  52.78,,64.54,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 2Lo  1.80  0.26 0 1 0,1 2 1 1,,1 1,2.06,
2 2A+3T  7.40  1.20 1 1 2,2 2 2 1,,2 2,8.60,
3 3F  5.30  0.80 1 1 0,1 2 2 0,,2 1,6.10,
4 2Lz e  2.10 -0.21 -1 0 -1,-1 0 -1 -1,,0 -1,1.89,
5 FCCoSp4  3.50  0.93 2 2 2,2 2 2 1,,2 1,4.43,
6 1S  0.40 -0.10 -1 -1 0,-2 0 -1 -3,,-1 -1,0.30,
7 3Lo+2Lo+2Lo  9.57 x  0.50 0 1 1,1 2 1 0,,1 0,10.07,
8 CCoSp4  3.50  0.93 2 1 1,2 2 2 2,,2 2,4.43,
9 2F  1.98 x  0.09 0 1 0,0 2 0 0,,1 0,2.07,
10 FCSp4  3.20  0.43 1 1 1,0 1 1 1,,1 0,3.63,
11 StSq4  3.90  1.90 3 3 3,3 2 3 2,,2 3,5.80,
12 ChSq1  2.00  1.40 2 2 2,2 2 2 2,,2 3,3.40,
44.65,,,,52.78,
Program Components Factor,,,,,
Skating Skills  1.60 8.00 8.00 8.00,8.75 8.50 8.25 8.00,,7.75 8.75,8.21,
