ISU Grand Prix and Junior Grand Prix Final,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
1 Patrick CHAN CAN,5,174.16  86.94,,87.22,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T  10.30  1.29 1 2,1,1 1 1 2,,1 2,11.59,
2 3A+2T  9.90  1.14 0 1,1,2 2 1 0,,1 2,11.04,
3 3Lz  6.00  1.00 1 2,1,1 2 1 1,,2 2,7.00,
4 SlSt3  3.30  1.00 2 3,2,2 2 2 2,,2 2,4.30,
"",,Info,,,,Info
5 FSSp4  3.00  0.93 0 2,1,2 2 2 2,,2 2,3.93,
6 3A  9.35 x -1.86 -1 -2,-2,-3 0 -2 -2,,-2 -2,7.49,
7 3Lz+1Lo+2S  8.69 x -0.70 -1 -2,-1,-1 0 -1 -1,,-1 -1,7.99,
8 CSSp3  2.60  0.86 1 2,2,1 2 2 3,,1 2,3.46,
9 3F+3T  10.34 x -0.10 -1 1,0,0 2 -1 0,,-1 0,10.24,
10 3Lo  5.61 x  0.80 0 1,1,2 2 0 2,,1 1,6.41,
11 2A  3.63 x  0.86 1 2,1,2 2 1 2,,2 2,4.49,
12 ChSt1  2.00  2.57 1 3,3,3 2 2 3,,2 3,4.57,
13 CCoSp4  3.50  0.93 2 2,1,2 3 2 2,,1 2,4.43,
78.22,,,,,86.94,
Program Components Factor,,,,,,
Skating Skills  2.00 7.75 9.25,9.00,8.75 8.50 8.50 8.50,,8.50 9.25,8.71,
Transition / Linking Footwork  2.00 7.25 9.00,8.75,8.50 8.25 8.50 8.50,,8.25 9.00,8.54,
Performance / Execution  2.00 7.00 8.75,8.50,9.00 8.50 8.25 7.75,,8.75 9.00,8.50,
Choreography / Composition  2.00 8.00 9.00,8.75,9.25 8.50 8.50 9.00,,9.00 9.25,8.86,
Interpretation  2.00 8.25 9.00,9.00,9.25 9.00 8.75 9.00,,9.25 9.00,9.00,
Judges Total Program Component Score (factored),,,,,87.22,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
2 Takahiko KOZUKA JPN,3,159.89  82.25,,77.64,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T< <  7.20 -1.57 -1 -2,-1,-2 -2 1 -2,,-2 -1,5.63,
2 3A  8.50  1.29 2 1,1,1 1 2 2,,1 1,9.79,
3 3Lz+2T  7.40  0.60 2 1,1,0 1 0 1,,1 1,8.00,
4 CCoSp4  3.50  0.43 1 1,1,0 1 1 0,,1 2,3.93,
5 SeSt3  3.30  0.86 2 2,1,0 2 2 2,,1 2,4.16,
6 3A+2T  10.89 x -0.14 0 0,-1,0 0 1 0,,0 -1,10.75,
7 3F  5.83 x  0.70 0 1,1,1 0 2 2,,0 2,6.53,
8 3Lz+3T  11.11 x -0.40 -1 -1,-1,0 -1 1 0,,0 -1,10.71,
9 3Lo  5.61 x  1.00 1 2,2,1 1 2 1,,1 2,6.61,
10 3S  4.62 x  0.30 0 1,1,0 0 1 0,,0 1,4.92,
11 FSSp4  3.00  0.57 1 1,1,0 2 1 1,,1 2,3.57,
12 ChSt1  2.00  1.29 2 1,1,0 2 1 1,,1 3,3.29,
13 FCCoSp4  3.50  0.86 2 2,0,1 2 2 1,,2 3,4.36,
76.46,,,,,82.25,
Program Components Factor,,,,,,
