Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Miki ANDO,JPN,162.55,2,56.22,2,106.33,2009-11-08,gpjpn09
2,Alena LEONOVA,RUS,160.85,5,52.34,1,108.51,2009-11-08,gpjpn09
3,Ashley WAGNER,USA,155.99,1,56.54,3,99.45,2009-11-08,gpjpn09
4,Yukari NAKANO,JPN,152.35,3,54.92,5,97.43,2009-11-08,gpjpn09
5,Laura LEPISTO,FIN,152.19,4,53.64,4,98.55,2009-11-08,gpjpn09
6,Cynthia PHANEUF,CAN,142.03,7,47.22,6,94.81,2009-11-08,gpjpn09
7,Yan LIU,CHN,126.49,6,47.64,10,78.85,2009-11-08,gpjpn09
8,Annette DYTRT,GER,126.01,9,44.86,9,81.15,2009-11-08,gpjpn09
9,Oksana GOZEVA,RUS,123.97,11,40.66,7,83.31,2009-11-08,gpjpn09
10,Shoko ISHIKAWA,JPN,119.63,10,44.28,11,75.35,2009-11-08,gpjpn09
11,Becky BERESWILL,USA,118.42,12,36.26,8,82.16,2009-11-08,gpjpn09
WD,Sarah MEIER,SUI,45.96,8,45.96,WD,WD,2009-11-08,gpjpn09
