ISU GP NHK Trophy 2009,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
1 Brian JOUBERT FRA,12,147.35  70.65,,76.70,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 4T  9.80  1.80 0 2,1,2 2 2 1,,2 1,11.60,
2 3S  4.50  1.20 0 2,1,2 1 1 1,,1 1,5.70,
3 3A  8.20 -3.64 -3 -2,-3,-2 -2 -3 -3,,-3 -2,4.56,
4 FSSp4  3.00  0.60 1 1,0,1 2 1 1,,2 1,3.60,
"",,Info,,,,Info
5 3F e  5.50 -1.00 0 -1,-1,-1 -1 -1 -2,,-1 0,4.50,
6 3Lz  6.60 x  1.20 1 2,1,1 1 1 1,,2 1,7.80,
7 3Lo+2T  6.93 x  0.40 1 0,0,0 1 0 1,,1 1,7.33,
8 CiSt2  2.30  0.90 2 1,2,1 2 2 2,,2 2,3.20,
9 3S+2T  6.38 x  1.00 0 1,1,1 1 1 1,,1 1,7.38,
10 3F+2T e  7.48 x -1.00 -1 -1,-1,-1 -1 -1 -2,,-1 -1,6.48,
11 CCoSp2  2.50  0.10 0 0,0,0 1 0 0,,1 0,2.60,
12 SlSt2  2.30  0.60 1 0,1,1 2 1 2,,1 2,2.90,
13 CSSp4  3.00  0.00 0 0,0,0 0 1 0,,0 1,3.00,
68.49,,,,,70.65,
Program Components Factor,,,,,,
Skating Skills  2.00 7.75 7.50,8.00,8.00 8.00 7.75 7.75,,8.00 8.50,7.90,
Transition / Linking Footwork  2.00 7.50 7.00,7.50,7.50 7.50 6.75 6.25,,7.50 7.00,7.25,
Performance / Execution  2.00 8.00 7.50,8.00,7.75 8.00 7.50 7.75,,8.25 9.00,7.80,
Choreography / Composition  2.00 7.75 7.50,7.75,8.00 7.75 7.25 7.25,,8.00 8.75,7.65,
Interpretation  2.00 7.75 7.50,7.75,8.00 8.00 7.50 7.50,,8.00 9.00,7.75,
Judges Total Program Component Score (factored),,,,,76.70,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge (long)",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
2 Michal BREZINA CZE,7,146.68  78.78,,67.90,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3A+2T  9.50  0.80 1 1,1,1 0 0 0,,0 1,10.30,
2 3F  5.50  1.80 2 2,2,2 2 2 1,,1 1,7.30,
3 3S  4.50  1.20 1 1,1,2 2 1 1,,1 1,5.70,
4 FSSp3  2.60  0.00 0 0,0,0 1 0 0,,0 0,2.60,
5 SlSt3  3.30  0.40 1 0,2,1 1 1 1,,0 1,3.70,
6 CSSp4  3.00  0.00 0 0,0,0 0 0 0,,0 0,3.00,
7 3A  9.02 x  1.00 1 2,1,1 1 1 1,,1 1,10.02,
8 3F+2T  7.48 x  1.00 1 1,1,1 1 1 1,,0 1,8.48,
9 2A  3.85 x  1.00 1 1,0,1 1 2 0,,1 1,4.85,
10 3Lz  6.60 x  1.00 1 1,1,2 1 1 0,,1 1,7.60,
11 2A+2T+2Lo  6.93 x  0.80 1 0,1,1 1 0 0,,0 1,7.73,
12 CiSt3  3.30  0.30 1 0,1,0 1 1 1,,0 1,3.60,
13 CCoSp4  3.50  0.40 0 1,1,1 1 0 1,,-1 1,3.90,
69.08,,,,,78.78,
Program Components Factor,,,,,,
