Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Meryl DAVIS / Charlie WHITE,USA,201.97,1,38.09,1,63.09,1,100.79,2009-11-08,gpjpn09
2,Sinead KERR / John KERR,GBR,177.73,2,35.04,2,56.53,2,86.16,2009-11-08,gpjpn09
3,Vanessa CRONE / Paul POIRIER,CAN,165.89,4,30.51,3,50.87,3,84.51,2009-11-08,gpjpn09
4,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,160.01,3,31.72,6,47.51,4,80.78,2009-11-08,gpjpn09
5,Xintong HUANG / Xun ZHENG,CHN,154.9,6,28.77,5,48.34,5,77.79,2009-11-08,gpjpn09
6,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,154.61,5,29.67,4,49.01,6,75.93,2009-11-08,gpjpn09
7,Cathy REED / Chris REED,JPN,147.53,7,28.58,7,46.36,8,72.59,2009-11-08,gpjpn09
8,Allie HANN-MCCURDY / Michael CORENO,CAN,145.32,9,26.2,8,44.75,7,74.37,2009-11-08,gpjpn09
9,Lucie MYSLIVECKOVA / Matej NOVAK,CZE,142.33,8,27.93,9,43.28,9,71.12,2009-11-08,gpjpn09
10,Jane SUMMERSETT / Todd GILLES,USA,130.24,10,24.23,10,39.16,10,66.85,2009-11-08,gpjpn09
