Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Meryl DAVIS / Charlie WHITE,USA,165.21,1,66.97,1,98.24,2010-10-24,gpjpn2010
2,Kaitlyn WEAVER / Andrew POJE,CAN,141.57,2,58.69,3,82.88,2010-10-24,gpjpn2010
3,Maia SHIBUTANI / Alex SHIBUTANI,USA,136.93,5,53.68,2,83.25,2010-10-24,gpjpn2010
4,Elena ILINYKH / Nikita KATSALAPOV,RUS,135.05,3,56.89,4,78.16,2010-10-24,gpjpn2010
5,Anna CAPPELLINI / Luca LANOTTE,ITA,127.43,4,55.68,5,71.75,2010-10-24,gpjpn2010
6,Lucie MYSLIVECKOVA / Matej NOVAK,CZE,115.17,6,45.2,6,69.97,2010-10-24,gpjpn2010
7,Cathy REED / Chris REED,JPN,114.52,7,44.9,7,69.62,2010-10-24,gpjpn2010
8,Penny COOMES / Nicholas BUCKLAND,GBR,109.8,8,43.52,8,66.28,2010-10-24,gpjpn2010
9,Xiaoyang YU / Chen WANG,CHN,102.65,9,43.5,9,59.15,2010-10-24,gpjpn2010
10,Dora TUROCZI / Balazs MAJOR,HUN,87.4,10,32.68,10,54.72,2010-10-24,gpjpn2010
