Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Carolina KOSTNER,ITA,164.61,1,57.27,2,107.34,2010-10-24,gpjpn2010
2,Rachael FLATT,USA,161.04,3,53.69,1,107.35,2010-10-24,gpjpn2010
3,Kanako MURAKAMI,JPN,150.16,2,56.1,5,94.06,2010-10-24,gpjpn2010
4,Kiira KORPI,FIN,148.44,5,52.6,4,95.84,2010-10-24,gpjpn2010
5,Ashley WAGNER,USA,143.73,4,52.93,6,90.8,2010-10-24,gpjpn2010
6,Elene GEDEVANISHVILI,GEO,141.52,9,44.51,3,97.01,2010-10-24,gpjpn2010
7,Caroline ZHANG,USA,133.86,6,50.71,9,83.15,2010-10-24,gpjpn2010
8,Mao ASADA,JPN,133.4,8,47.95,8,85.45,2010-10-24,gpjpn2010
9,Viktoria HELGESSON,SWE,130.11,10,43.66,7,86.45,2010-10-24,gpjpn2010
10,Lena MARROCCO,FRA,122.03,11,41.67,10,80.36,2010-10-24,gpjpn2010
11,Jenna MCCORKELL,GBR,121.52,7,49.07,11,72.45,2010-10-24,gpjpn2010
12,Diane SZMIETT,CAN,88.33,12,31.9,12,56.43,2010-10-24,gpjpn2010
