9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
11,Viktoria HELGESSON,SWE,17,94.35,46.19,50.16,-2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3F,,5.3,False,0.3,1,1,0,0,0,1,-1,0,1,,5.6
2,2Lz,,2.1,False,0.0,0,0,0,0,0,0,0,0,0,,2.1
3,3Lo,,5.1,False,0.5,0,1,1,0,1,1,0,1,1,,5.6
4,CiSt4,,3.9,False,0.9,2,2,1,0,1,1,1,2,1,,4.8
5,CSp4,,2.6,False,0.43,1,2,1,0,1,0,1,1,1,,3.03
6,3T+2T,,5.94,True,0.0,0,0,0,0,0,0,0,0,0,,5.94
7,ChSp1,,2.0,False,0.7,1,2,2,0,1,1,1,0,1,,2.7
8,2A,,3.63,True,-1.07,-2,-3,-2,-2,-3,-2,-2,-2,-2,,2.56
9,CCoSp4,,3.5,False,0.36,0,1,1,0,1,1,0,1,1,,3.86
10,3Lo+SEQ,,4.49,True,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.39
11,3S,,4.62,True,0.1,0,0,1,0,0,0,0,1,0,,4.72
12,FSSp3,,2.6,False,0.29,0,1,-1,0,1,0,1,1,1,,2.89
,,,45.78,,,,,,,,,,,,,46.19
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,6.75,7.0,6.25,5.5,6.5,6.5,5.75,6.5,6.5,,6.39
,Transition / Linking Footwork  ,,,,1.6,6.25,6.75,6.0,4.75,6.0,6.0,5.75,5.75,6.0,,5.96
,Performance / Execution  ,,,,1.6,6.75,7.0,6.25,5.25,6.5,6.0,5.75,6.5,6.25,,6.29
,Choreography / Composition  ,,,,1.6,6.5,6.25,6.25,5.0,6.5,6.25,5.75,6.25,6.5,,6.25
,Interpretation  ,,,,1.6,6.75,6.75,6.5,5.0,6.75,6.5,6.0,6.25,6.5,,6.46
,,,,,,,,,,,,,,,,50.16
Deduction,Time violation,-1.0
Deduction,Falls,-1.0
