Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Daisuke TAKAHASHI,JPN,227.07,2,78.12,1,148.95,2010-11-14,gpusa2010
2,Nobunari ODA,JPN,226.09,1,79.28,2,146.81,2010-11-14,gpusa2010
3,Armin MAHBANOOZADEH,USA,211.17,4,67.61,3,143.56,2010-11-14,gpusa2010
4,Adam RIPPON,USA,203.12,3,73.94,7,129.18,2010-11-14,gpusa2010
5,Daisuke MURAKAMI,JPN,203.0,5,67.01,4,135.99,2010-11-14,gpusa2010
6,Kevin VAN DER PERREN,BEL,194.63,8,62.22,5,132.41,2010-11-14,gpusa2010
7,Adrian SCHULTHEISS,SWE,188.2,7,63.71,9,124.49,2010-11-14,gpusa2010
8,Shawn SAWYER,CAN,186.62,11,56.94,6,129.68,2010-11-14,gpusa2010
9,Stephen CARRIERE,USA,184.2,10,59.14,8,125.06,2010-11-14,gpusa2010
10,Nan SONG,CHN,180.1,9,62.21,10,117.89,2010-11-14,gpusa2010
11,Denis TEN,KAZ,176.11,6,64.5,11,111.61,2010-11-14,gpusa2010
12,Viktor PFEIFER,AUT,162.47,12,55.01,12,107.46,2010-11-14,gpusa2010
