Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Kanako MURAKAMI,JPN,164.93,2,54.75,2,110.18,2010-11-14,gpusa2010
2,Rachael FLATT,USA,162.86,4,51.02,1,111.84,2010-11-14,gpusa2010
3,Carolina KOSTNER,ITA,154.87,1,60.28,6,94.59,2010-11-14,gpusa2010
4,Joshi HELGESSON,SWE,146.9,3,51.17,5,95.73,2010-11-14,gpusa2010
5,Amelie LACOSTE,CAN,146.68,6,50.55,4,96.13,2010-11-14,gpusa2010
6,Viktoria HELGESSON,SWE,142.26,12,41.91,3,100.35,2010-11-14,gpusa2010
7,Elene GEDEVANISHVILI,GEO,139.36,8,45.27,7,94.09,2010-11-14,gpusa2010
8,Mae Berenice MEITE,FRA,137.05,7,48.27,8,88.78,2010-11-14,gpusa2010
9,Caroline ZHANG,USA,132.49,5,50.66,10,81.83,2010-11-14,gpusa2010
10,Jenna MCCORKELL,GBR,127.76,11,42.87,9,84.89,2010-11-14,gpusa2010
11,Min-Jeong KWAK,KOR,125.21,10,44.41,11,80.8,2010-11-14,gpusa2010
12,Alexe GILLES,USA,122.46,9,44.86,12,77.6,2010-11-14,gpusa2010
