Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Marie-France DUBREUIL / Patrice LAUZON,CAN,196.68,1,38.83,1,59.04,1,98.81,2006-11-05,gpcan06
2,Tessa VIRTUE / Scott MOIR,CAN,171.92,3,29.51,2,54.12,3,88.29,2006-11-05,gpcan06
3,Federica FAIELLA / Massimo SCALI,ITA,170.73,2,33.19,5,49.15,2,88.39,2006-11-05,gpcan06
4,Meryl DAVIS / Charlie WHITE,USA,162.66,8,25.53,3,52.3,4,84.83,2006-11-05,gpcan06
5,Anastasia PLATONOVA / Andrei MAXIMISHIN,RUS,157.45,4,27.87,4,49.6,5,79.98,2006-11-05,gpcan06
6,Kimberly NAVARRO / Brent BOMMENTRE,USA,152.57,6,26.95,6,47.78,6,77.84,2006-11-05,gpcan06
7,Chantal LEFEBVRE / Arseni MARKOV,CAN,145.12,9,25.31,7,44.33,7,75.48,2006-11-05,gpcan06
8,Natalia MIKHAILOVA / Arkadi SERGEEV,RUS,140.97,5,27.16,8,43.97,9,69.84,2006-11-05,gpcan06
9,Trina PRATT / Todd GILLES,USA,139.44,7,25.78,10,38.81,8,74.85,2006-11-05,gpcan06
10,Kamila HAJKOVA / David VINCOUR,CZE,127.7,11,22.96,9,39.93,10,64.81,2006-11-05,gpcan06
11,Xiaoyang YU / Chen WANG,CHN,126.36,10,25.13,11,38.27,11,62.96,2006-11-05,gpcan06
