Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Meagan DUHAMEL / Eric RADFORD,CAN,219.48,1,75.67,1,143.81,2015-02-15,fc2015
2,Cheng PENG / Hao ZHANG,CHN,201.45,2,69.81,3,131.64,2015-02-15,fc2015
3,Qing PANG / Jian TONG,CHN,199.99,4,66.87,2,133.12,2015-02-15,fc2015
4,Wenjing SUI / Cong HAN,CHN,198.88,3,69.19,4,129.69,2015-02-15,fc2015
5,Alexa SCIMECA / Chris KNIERIM,USA,187.98,5,63.54,5,124.44,2015-02-15,fc2015
6,Lubov ILIUSHECHKINA / Dylan MOSCOVITCH,CAN,173.5,6,60.13,6,113.37,2015-02-15,fc2015
7,Haven DENNEY / Brandon FRAZIER,USA,167.57,9,56.98,7,110.59,2015-02-15,fc2015
8,Tarah KAYNE / Daniel O SHEA,USA,166.67,8,57.91,8,108.76,2015-02-15,fc2015
9,Kirsten MOORE-TOWERS / Michael MARINARO,CAN,160.7,7,59.3,9,101.4,2015-02-15,fc2015
10,Narumi TAKAHASHI / Ryuichi KIHARA,JPN,132.84,10,45.63,10,87.21,2015-02-15,fc2015
