Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Polina EDMUNDS,USA,184.02,4,61.03,1,122.99,2015-02-15,fc2015
2,Satoko MIYAHARA,JPN,181.59,1,64.84,2,116.75,2015-02-15,fc2015
3,Rika HONGO,JPN,177.44,3,61.28,3,116.16,2015-02-15,fc2015
4,Gracie GOLD,USA,176.58,2,62.67,5,113.91,2015-02-15,fc2015
5,Zijun LI,CHN,175.92,5,60.28,4,115.64,2015-02-15,fc2015
6,Yuka NAGAI,JPN,168.09,7,56.94,8,111.15,2015-02-15,fc2015
7,Gabrielle DALEMAN,CAN,167.09,8,55.25,6,111.84,2015-02-15,fc2015
8,Samantha CESARIO,USA,166.76,9,54.95,7,111.81,2015-02-15,fc2015
9,So Youn PARK,KOR,163.75,10,53.47,9,110.28,2015-02-15,fc2015
10,Alaine CHARTRAND,CAN,161.22,6,58.5,10,102.72,2015-02-15,fc2015
11,Hae Jin KIM,KOR,147.3,11,51.41,12,95.89,2015-02-15,fc2015
12,Kailani CRAINE,AUS,142.16,12,47.91,13,94.25,2015-02-15,fc2015
13,Song Joo CHEA,KOR,139.09,15,42.16,11,96.93,2015-02-15,fc2015
14,Veronik MALLET,CAN,130.15,13,42.92,14,87.23,2015-02-15,fc2015
15,Melissa BULANHAGUI,PHI,126.32,16,41.67,15,84.65,2015-02-15,fc2015
16,Alisson Krystle PERTICHETO,PHI,115.87,17,41.63,16,74.24,2015-02-15,fc2015
17,Brooklee HAN,AUS,114.02,18,40.68,17,73.34,2015-02-15,fc2015
18,Isadora WILLIAMS,BRA,113.96,14,42.68,18,71.28,2015-02-15,fc2015
19,Reyna HAMUI,MEX,105.94,19,39.93,19,66.01,2015-02-15,fc2015
