Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Kaitlyn WEAVER / Andrew POJE,CAN,177.46,3,68.31,1,109.15,2015-02-15,fc2015
2,Madison CHOCK / Evan BATES,USA,176.18,1,70.38,2,105.8,2015-02-15,fc2015
3,Maia SHIBUTANI / Alex SHIBUTANI,USA,170.79,2,69.65,3,101.14,2015-02-15,fc2015
4,Piper GILLES / Paul POIRIER,CAN,162.25,4,63.45,4,98.8,2015-02-15,fc2015
5,Kaitlin HAWAYEK / Jean-Luc BAKER,USA,149.98,6,58.31,5,91.67,2015-02-15,fc2015
6,Alexandra PAUL / Mitchell ISLAM,CAN,149.92,5,61.34,6,88.58,2015-02-15,fc2015
7,Shiyue WANG / Xinyu LIU,CHN,130.95,7,48.71,7,82.24,2015-02-15,fc2015
8,Emi HIRAI / Marien DE LA ASUNCION,JPN,122.67,8,47.8,8,74.87,2015-02-15,fc2015
9,Rebeka KIM / Kirill MINOV,KOR,120.76,9,46.54,9,74.22,2015-02-15,fc2015
10,Yue ZHAO / Xun ZHENG,CHN,115.12,10,43.59,10,71.53,2015-02-15,fc2015
11,Pilar MAEKAWA / Leonardo MAEKAWA,MEX,106.27,12,40.86,11,65.41,2015-02-15,fc2015
12,Karina UZUROVA / Ilias ALI,KAZ,102.54,13,39.84,12,62.7,2015-02-15,fc2015
WD,Yiyi ZHANG / Nan WU,CHN,42.54,11,42.54,WD,WD,2015-02-15,fc2015
