ISU Grand Prix of Figure Skating Final 2016,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
1 Nathan CHEN USA  3  197.55,,113.13,84.42,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5In fo",,J6 J7,J8 J9 Ref,,Info
Elements Value,,,,Panel,
1 4Lz+3T  17.90  2.00 2 2 2 2 2,,2 2,3 2,19.90,
2 4F  12.30  1.29 1 2 1 1 1,,2 3,1 1,13.59,
3 4T+2T+2Lo  13.40  1.00 1 1 1 1 2,,1 1,1 1,14.40,
4 4T  10.30  0.71 0 1 0 1 1,,1 0,1 1,11.01,
5 ChSq1  2.00  0.80 2 2 1 1 1,,1 1,1 1,2.80,
6 3A  9.35 x  0.57 1 1 0 1 0,,1 2,0 0,9.92,
7 3Lo  5.61 x  0.80 1 1 1 1 1,,2 2,1 1,6.41,
8 3F+3T  10.56 x  0.80 1 1 1 1 2,,2 1,1 1,11.36,
9 3Lz  6.60 x  1.00 1 2 1 1 2,,1 2,2 1,7.60,
10 CCSp4  3.20  0.64 1 1 1 1 2,,1 2,2 1,3.84,
11 StSq3  3.30  1.00 2 2 2 2 1,,2 2,3 2,4.30,
12 FCCoSp4  3.50  0.64 1 1 1 1 2,,1 2,2 1,4.14,
13 CCoSp3  3.00  0.86 1 2 1 2 2,,1 2,2 2,3.86,
101.02,,,,113.13,
Program Components Factor,,,,,
Skating Skills  2.00  8.50  8.25  8.25  8.50  8.75,,8.50  8.50,8.50  8.50,8.46,
Transitions  2.00  8.50  8.00  8.25  8.25  8.25,,7.75  8.00,7.50  8.25,8.11,
Performance  2.00  9.00  8.25  8.50  9.25  9.00,,9.25  8.25,8.50  9.00,8.79,
Composition  2.00  8.50  8.25  8.50  8.75  8.75,,8.50  8.25,8.25  8.50,8.46,
Interpretation of the Music  2.00  8.75  8.25  8.25  8.50  8.50,,8.50  8.25,8.25  8.50,8.39,
Judges Total Program Component Score (factored),,,,84.42,
Deductions,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
2 Shoma UNO JPN  1  195.69,,104.75,90.94,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 4F  12.30  1.00 1 1 1 1 1,,1 1,0 1,13.30,
2 4T  10.30 -0.51 -1 0 0 -1 0,,0 0,-1 -1,9.79,
3 3Lo  5.10  0.90 1 2 1 2 1,,2 1,1 1,6.00,
4 FCSp4  3.20  0.79 2 2 1 2 2,,1 2,1 1,3.99,
5 StSq3  3.30  1.14 3 3 2 2 2,,2 2,3 2,4.44,
6 FCCoSp4  3.50  1.00 2 2 2 2 2,,2 2,2 1,4.50,
7 3A  9.35 x  1.29 1 1 1 2 1,,2 2,0 1,10.64,
8 4T+2T  12.76 x  2.00 2 2 2 2 2,,2 2,1 2,14.76,
9 3Lz !  6.60 x -0.50 0 0 -1 -1 -1,,-1 0,-1 -1,6.10,
10 3A+1Lo+3F  15.73 x  1.86 2 2 2 1 2,,3 2,1 2,17.59,
11 3S  4.84 x  0.40 0 1 0 0 1,,1 1,0 1,5.24,
12 ChSq1  2.00  1.40 2 3 2 1 2,,2 2,2 2,3.40,
13 CCoSp4  3.50  1.50 3 3 3 3 3,,3 3,3 3,5.00,
92.48,,,,104.75,
Program Components Factor,,,,,
Skating Skills  2.00  9.00  9.00  9.00  8.75  9.00,,8.75  8.75,9.25  9.00,8.93,
