Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Tessa VIRTUE / Scott MOIR,CAN,197.22,1,80.5,1,116.72,2016-12-11,gpf1617
2,Gabriella PAPADAKIS / Guillaume CIZERON,FRA,192.81,3,77.86,2,114.95,2016-12-11,gpf1617
3,Maia SHIBUTANI / Alex SHIBUTANI,USA,189.6,2,77.97,3,111.63,2016-12-11,gpf1617
4,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,181.95,4,74.04,5,107.91,2016-12-11,gpf1617
5,Madison HUBBELL / Zachary DONOHUE,USA,179.59,5,72.47,6,107.12,2016-12-11,gpf1617
6,Madison CHOCK / Evan BATES,USA,179.32,6,70.87,4,108.45,2016-12-11,gpf1617
