Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Takahito MURA,JPN,255.81,2,82.57,1,173.24,2014-11-02,gpcan2014
2,Javier FERNANDEZ,ESP,244.87,1,86.36,2,158.51,2014-11-02,gpcan2014
3,Max AARON,USA,231.77,5,76.5,3,155.27,2014-11-02,gpcan2014
4,Stephen CARRIERE,USA,231.67,4,80.33,4,151.34,2014-11-02,gpcan2014
5,Konstantin MENSHOV,RUS,225.03,3,81.7,6,143.33,2014-11-02,gpcan2014
6,Florent AMODIO,FRA,215.71,8,72.14,5,143.57,2014-11-02,gpcan2014
7,Michal BREZINA,CZE,208.24,7,73.29,8,134.95,2014-11-02,gpcan2014
8,Takahiko KOZUKA,JPN,203.17,6,75.85,11,127.32,2014-11-02,gpcan2014
9,Andrei ROGOZINE,CAN,202.4,9,70.95,10,131.45,2014-11-02,gpcan2014
10,Adam RIPPON,USA,201.92,11,62.83,7,139.09,2014-11-02,gpcan2014
11,Liam FIRUS,CAN,198.91,10,64.94,9,133.97,2014-11-02,gpcan2014
