Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Anna POGORILAYA,RUS,191.81,1,65.28,1,126.53,2014-11-02,gpcan2014
2,Ashley WAGNER,USA,186.0,2,63.86,2,122.14,2014-11-02,gpcan2014
3,Satoko MIYAHARA,JPN,181.75,4,60.22,3,121.53,2014-11-02,gpcan2014
4,Courtney HICKS,USA,174.51,8,56.36,4,118.15,2014-11-02,gpcan2014
5,Rika HONGO,JPN,171.47,5,59.1,5,112.37,2014-11-02,gpcan2014
6,Alena LEONOVA,RUS,164.15,3,62.54,6,101.61,2014-11-02,gpcan2014
7,Alaine CHARTRAND,CAN,156.22,7,57.06,7,99.16,2014-11-02,gpcan2014
8,Brooklee HAN,AUS,146.8,11,51.55,8,95.25,2014-11-02,gpcan2014
9,Hae Jin KIM,KOR,143.43,10,52.18,10,91.25,2014-11-02,gpcan2014
10,Veronik MALLET,CAN,142.25,6,57.45,11,84.8,2014-11-02,gpcan2014
11,Viktoria HELGESSON,SWE,139.67,12,44.66,9,95.01,2014-11-02,gpcan2014
12,Julianne SEGUIN,CAN,136.95,9,52.74,12,84.21,2014-11-02,gpcan2014
