Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Tessa VIRTUE / Scott MOIR,CAN,189.06,1,77.23,2,111.83,2016-10-30,gpcan2016
2,Madison CHOCK / Evan BATES,USA,188.24,2,76.21,1,112.03,2016-10-30,gpcan2016
3,Piper GILLES / Paul POIRIER,CAN,182.57,3,72.12,3,110.45,2016-10-30,gpcan2016
4,Anna CAPPELLINI / Luca LANOTTE,ITA,180.35,4,71.08,4,109.27,2016-10-30,gpcan2016
5,Alexandra STEPANOVA / Ivan BUKIN,RUS,168.1,5,68.12,5,99.98,2016-10-30,gpcan2016
6,Kaitlin HAWAYEK / Jean-Luc BAKER,USA,162.19,6,65.01,6,97.18,2016-10-30,gpcan2016
7,Laurence FOURNIER BEAUDRY / Nikolaj SORENSEN,DEN,156.71,7,62.63,7,94.08,2016-10-30,gpcan2016
8,Alexandra PAUL / Mitchell ISLAM,CAN,144.85,8,58.83,9,86.02,2016-10-30,gpcan2016
9,Shiyue WANG / Xinyu LIU,CHN,144.16,9,57.86,8,86.3,2016-10-30,gpcan2016
10,Cecilia TÖRN / Jussiville PARTANEN,FIN,139.14,10,56.98,10,82.16,2016-10-30,gpcan2016
