Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Patrick CHAN,CAN,266.95,1,90.56,2,176.39,2016-10-30,gpcan2016
2,Yuzuru HANYU,JPN,263.06,4,79.65,1,183.41,2016-10-30,gpcan2016
3,Kevin REYNOLDS,CAN,245.06,3,80.57,3,164.49,2016-10-30,gpcan2016
4,Michal BREZINA,CZE,227.42,9,70.36,4,157.06,2016-10-30,gpcan2016
5,Daniel SAMOHIN,ISR,226.53,5,74.62,7,151.91,2016-10-30,gpcan2016
6,Misha GE,UZB,226.07,7,72.3,5,153.77,2016-10-30,gpcan2016
7,Alexander PETROV,RUS,224.39,8,71.5,6,152.89,2016-10-30,gpcan2016
8,Takahito MURA,JPN,222.13,2,81.24,9,140.89,2016-10-30,gpcan2016
9,Liam FIRUS,CAN,210.89,10,70.09,10,140.8,2016-10-30,gpcan2016
10,Han YAN,CHN,209.11,6,72.86,11,136.25,2016-10-30,gpcan2016
11,Grant HOCHSTEIN,USA,204.69,12,60.2,8,144.49,2016-10-30,gpcan2016
12,Ross MINER,USA,196.53,11,63.92,12,132.61,2016-10-30,gpcan2016
