ISU GP 2016 Skate Canada International,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
1 3T+3T  8.60  1.40 2 3 2 2 2 2 2,,2 2,10.00,
2 FSSp4  3.00  0.57 1 2 1 1 1 1 0,,1 2,3.57,
3 LSp4  2.70  0.21 1 0 1 0 0 1 0,,-1 1,2.91,
4 3Lz  6.60 x  0.30 1 0 0 1 0 2 0,,0 1,6.90,
5 StSq3  3.30  0.71 1 2 2 1 0 2 1,,1 2,4.01,
6 2A  3.63 x  0.93 2 2 2 2 1 2 2,,1 2,4.56,
7 CCoSp4  3.50  0.64 1 1 2 1 1 2 1,,0 2,4.14,
31.33,,,36.09,
Program Components Factor,,,,
Skating Skills  0.80  7.75  8.25  8.50  7.75  7.50  8.00  7.00,,7.25  8.25,7.82,
Transitions  0.80  7.75  7.25  8.00  7.00  7.25  7.75  6.50,,6.50  8.25,7.36,
Performance  0.80  8.00  8.25  8.25  7.50  7.50  8.00  7.00,,7.00  8.75,7.79,
Composition  0.80  7.75  7.75  8.50  7.25  7.25  7.75  6.75,,6.75  8.75,7.57,
Interpretation of the Music  0.80  8.00  8.25  8.50  7.50  7.00  8.00  7.25,,7.25  8.50,7.82,
Judges Total Program Component Score (factored),,,30.70,
Deductions,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
4 Rika HONGO JPN  1  65.75  36.57,,29.18,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 J6 J7",,J8 J9 Ref,,
Elements Value,,,Panel,
1 3F  5.30  0.70 1 1 1 1 1 1 1,,2 1,6.00,
2 LSp4  2.70  0.64 1 2 1 1 1 2 1,,1 2,3.34,
3 FCSp4  3.20  0.43 1 0 1 1 0 1 1,,1 1,3.63,
4 3T+3T  9.46 x  0.70 1 2 2 0 1 1 1,,1 -1,10.16,
5 2A  3.63 x  0.50 1 1 1 1 0 1 1,,1 1,4.13,
6 StSq4  3.90  1.20 1 2 2 1 1 2 2,,2 2,5.10,
7 CCoSp4  3.50  0.71 1 1 2 2 1 2 1,,2 1,4.21,
31.69,,,36.57,
Program Components Factor,,,,
Skating Skills  0.80  7.50  7.25  8.00  7.25  7.00  7.75  6.75,,7.25  7.25,7.32,
Transitions  0.80  7.25  6.75  7.50  7.00  6.75  7.50  7.25,,6.75  7.25,7.11,
Performance  0.80  7.50  7.50  7.75  7.25  7.00  7.75  7.00,,7.25  7.50,7.39,
Composition  0.80  7.25  7.00  7.50  7.00  7.25  7.75  7.50,,7.25  7.50,7.32,
Interpretation of the Music  0.80  7.50  7.00  7.75  7.00  7.00  7.50  7.25,,7.25  7.75,7.32,
Judges Total Program Component Score (factored),,,29.18,
Deductions,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU GP 2016 Skate Canada International,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
5 Satoko MIYAHARA JPN  9  65.24  32.09,,33.15,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 Info J6 J7",,J8 J9 Ref,,Info
Elements Value,,,Panel,
1 2A  3.30  0.71 2 2 1 1 1 2 2,,1 1,4.01,
2 StSq3  3.30  1.00 2 2 2 2 1 2 2,,2 3,4.30,
3 3Lz+3T< <  9.90 x -0.60 -1 1 -1 -1 -1 0 -1,,-1 -1,9.30,
4 CCoSp4  3.50  0.79 1 2 2 2 1 2 1,,1 2,4.29,
5 3Fe< e  3.52 x -1.30 -1 -2 -2 -2 -2 -2 -3,,-1 -2,2.22,
6 FCSp4  3.20  0.57 1 2 1 2 0 1 1,,1 1,3.77,
7 LSp4  2.70  1.50 3 3 3 3 3 3 3,,3 3,4.20,
29.42,,,32.09,
Program Components Factor,,,,
Skating Skills  0.80  8.00  9.00  8.50  8.50  8.00  8.00  8.50,,8.75  8.00,8.32,
Transitions  0.80  7.75  8.50  8.25  8.25  8.25  7.75  8.00,,7.50  8.25,8.07,
Performance  0.80  8.00  8.75  8.50  8.00  8.25  8.00  8.25,,8.50  8.50,8.29,
Composition  0.80  8.00  8.75  8.50  8.50  8.00  7.75  8.50,,8.25  8.50,8.32,
Interpretation of the Music  0.80  8.00  9.25  8.75  8.25  8.25  8.00  8.75,,8.25  8.75,8.43,
Judges Total Program Component Score (factored),,,33.15,
Deductions,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1e  Wrong edge",,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
6 Alaine CHARTRAND CAN  8  62.15  32.34,,29.81,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 J6 J7",,J8 J9 Ref,,
Elements Value,,,Panel,
1 3Lz+3T< <  9.00 -1.70 -2 -2 -3 -3 -2 -3 -3,,-2 -2,7.30,
2 FSSp4  3.00  0.43 1 1 1 1 1 1 0,,0 1,3.43,
3 LSp4  2.70  0.57 1 1 1 1 1 2 0,,1 2,3.27,
4 3Lo  5.61 x  0.00 0 -1 0 0 0 1 -1,,0 1,5.61,
5 2A  3.63 x -0.21 0 -1 -1 -1 -1 0 0,,0 0,3.42,
6 StSq4  3.90  1.20 1 2 2 2 2 2 1,,1 2,5.10,
7 CCoSp4  3.50  0.71 1 2 2 1 1 2 1,,1 2,4.21,
31.34,,,32.34,
Program Components Factor,,,,
Skating Skills  0.80  7.50  7.50  7.25  7.25  7.75  7.50  7.25,,7.25  7.50,7.39,
Transitions  0.80  7.50  7.25  7.00  7.25  8.25  7.25  7.00,,7.00  7.75,7.29,
Performance  0.80  7.25  7.25  7.25  7.00  8.00  7.75  7.00,,7.25  7.75,7.36,
Composition  0.80  7.50  7.25  7.50  7.50  8.00  7.75  7.50,,7.50  8.00,7.61,
Interpretation of the Music  0.80  7.50  7.50  7.50  7.50  8.25  7.50  7.00,,7.50  8.25,7.61,
Judges Total Program Component Score (factored),,,29.81,
Deductions,,,0.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU GP 2016 Skate Canada International,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
7 Nahyun KIM KOR  7  60.46  34.02,,26.44,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 Info J6 J7",,J8 J9 Ref,,Info
Elements Value,,,Panel,
1 3Lo+3Lo  10.20  0.70 1 2 0 1 1 2 1,,0 1,10.90,
2 FSSp4  3.00  0.00 1 0 0 0 0 0 0,,0 0,3.00,
3 CCoSp3V  2.50  0.14 0 0 1 0 0 1 0,,1 0,2.64,
4 3F  5.83 x  0.30 1 2 0 0 0 1 0,,1 0,6.13,
5 2A  3.63 x  0.43 1 1 1 1 0 1 1,,1 0,4.06,
6 StSq3  3.30  0.43 1 1 0 1 0 1 2,,1 1,3.73,
7 LSp4  2.70  0.86 1 2 2 2 1 2 2,,2 1,3.56,
31.16,,,34.02,
Program Components Factor,,,,
Skating Skills  0.80  6.50  7.25  7.25  6.50  6.50  6.25  6.00,,6.75  6.75,6.64,
Transitions  0.80  6.50  7.00  6.75  6.25  6.50  6.00  6.25,,6.50  6.25,6.43,
Performance  0.80  7.00  7.00  7.00  6.25  6.25  6.50  6.25,,7.00  6.50,6.64,
Composition  0.80  6.75  7.00  7.00  5.75  6.50  6.50  6.50,,7.00  6.50,6.68,
Interpretation of the Music  0.80  6.75  6.75  7.25  5.50  6.25  6.50  6.50,,7.25  6.75,6.68,
Judges Total Program Component Score (factored),,,26.44,
Deductions,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
8 Dabin CHOI KOR  6  53.29  28.62,,24.67,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 J6 J7",,J8 J9 Ref,,
Elements Value,,,Panel,
1 3Lz+3T< <  9.00 -0.70 -1 -1 -1 -1 -1 -1 -1,,-1 -1,8.30,
2 FCSp4  3.20  0.43 1 1 1 1 0 1 0,,1 1,3.63,
3 CCoSp4V  3.00  0.21 0 1 1 1 0 1 0,,0 0,3.21,
4 3F  5.83 x -1.30 -2 -3 0 -1 -2 -2 -2,,-2 -2,4.53,
5 2A< <  2.53 x -0.43 -1 0 -1 -1 -1 -1 -1,,-1 0,2.10,
6 StSq3  3.30  0.21 0 0 1 0 0 1 1,,1 0,3.51,
7 LSp4  2.70  0.64 1 2 1 2 1 2 1,,1 1,3.34,
29.56,,,28.62,
Program Components Factor,,,,
