SBS ISU Grand Prix and Junior Grand Prix Final,,,,,
SENIOR PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Elements Value (in random order),,,,of Panel,
1 3T  4.00  0.00 0 1 0 1 0 0 0 0,,0,- - -,4.00,
2 3LzTw2  5.50  1.12 1 2 2 1 2 2 2 In2fo,,1,- - -,6.62,Info
3 3LoTh  5.00  1.26 1 2 3 2 1 2 2 2,,2,- - -,6.26,
4 FiDs4  3.50  0.84 1 1 2 1 2 1 1 2,,1,- - -,4.34,
5 SpSq4  3.40  0.60 1 2 1 0 0 0 1 1,,1,- - -,4.00,
6 3Li4  4.00  0.40 0 1 2 1 1 0 1 1,,1,- - -,4.40,
7 PCoSp4  4.50  0.00 0 0 0 0 1 0 0 -1,,0,- - -,4.50,
8 FCCoSp3  3.00  0.40 1 1 0 1 1 0 1 1,,1,- - -,3.40,
32.90,,,,37.52,
Program Components Factor,,,,,
Skating Skills  0.80 6.50 7.75 7.50 7.50 7.25 7.00 7.50 7.25,,7.50,- - -,7.35,
Transition / Linking Footwork  0.80 6.50 7.25 7.25 7.25 6.75 6.75 6.75 6.00,,7.00,- - -,6.90,
Performance / Execution  0.80 6.50 7.50 7.50 7.75 7.25 7.00 7.00 7.25,,7.50,- - -,7.25,
Choreography / Composition  0.80 6.50 7.25 7.25 7.50 7.00 7.25 7.25 6.75,,7.25,- - -,7.20,
Interpretation  0.80 6.50 7.50 7.50 7.50 7.00 6.75 7.25 7.00,,7.50,- - -,7.20,
Judges Total Program Component Score (factored),,,,28.72,
Deductions:,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump",,,,,
Total Total,,,Total,Total,
NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,
Code Score Score,,,Score (factored),,
"= +",,,+,-,
4 Tatiana VOLOSOZHAR / Stanislav MOROZOV UKR  64.08  36.44,,,27.64,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 3S  4.50  0.60 1 1 1 1 0 0 1 0,,0,- - -,5.10,
2 3LzTw2  5.50  1.12 1 2 2 2 1 2 2 2,,1,- - -,6.62,
3 3Li4  4.00  0.80 2 1 2 1 1 2 2 2,,1,- - -,4.80,
4 FiDs4  3.50  0.70 0 1 1 1 1 1 1 1,,1,- - -,4.20,
5 3LoTh  5.00 -0.98 -2 -2 -2 -1 -2 0 -1 -1,,-1,- - -,4.02,
6 FCCoSp4  3.50  0.20 1 2 0 1 0 1 0 0,,0,- - -,3.70,
7 PCoSp4  4.50  0.10 1 1 0 0 0 1 0 0,,0,- - -,4.60,
8 SpSq4  3.40  0.00 0 1 0 0 1 0 0 0,,0,- - -,3.40,
33.90,,,,36.44,
Program Components Factor,,,,,
Skating Skills  0.80 7.00 7.25 7.00 7.25 6.75 7.25 7.25 6.00,,7.00,- - -,7.10,
Transition / Linking Footwork  0.80 7.00 6.50 6.25 6.75 6.50 7.00 6.75 4.50,,6.25,- - -,6.65,
Performance / Execution  0.80 7.00 7.25 6.75 7.00 6.75 7.00 6.75 6.00,,7.25,- - -,6.90,
Choreography / Composition  0.80 7.00 7.00 7.00 7.00 7.00 7.25 7.00 5.50,,7.25,- - -,7.05,
Interpretation  0.80 7.00 7.25 6.75 7.00 6.75 6.75 7.00 6.25,,6.75,- - -,6.85,
Judges Total Program Component Score (factored),,,,27.64,
Deductions:,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump",,,,,
SBS ISU Grand Prix and Junior Grand Prix Final,,,,,
SENIOR PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Total Total,,,Total,Total,
NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,
Code Score Score,,,Score (factored),,
"= +",,,+,-,
5 Maria MUKHORTOVA / Maxim TRANKOV RUS  61.56  34.40,,,27.16,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 3LzTw1  5.00  0.42 0 1 0 0 1 1 1 1,,1,- - -,5.42,
2 3T  4.00 -0.60 -1 0 -1 -1 1 0 -1 In-f1o,,0,- - -,3.40,Info
3 SpSq4  3.40  0.60 1 1 1 0 1 1 0 1,,0,- - -,4.00,
4 3LoTh  5.00 -0.28 0 -1 -1 -1 0 0 -1 0,,0,- - -,4.72,
5 FiDs4  3.50  0.56 1 0 0 1 1 1 0 1,,1,- - -,4.06,
6 FCCoSp4  3.50  0.40 1 2 1 1 1 0 0 1,,1,- - -,3.90,
7 3Li4  4.00  0.40 0 1 1 0 1 1 1 1,,1,- - -,4.40,
8 PCoSp4  4.50  0.00 0 0 0 0 2 0 0 0,,0,- - -,4.50,
32.90,,,,34.40,
Program Components Factor,,,,,
Skating Skills  0.80 6.25 6.75 7.00 6.75 7.25 7.25 6.50 6.50,,7.25,- - -,6.95,
Transition / Linking Footwork  0.80 6.00 6.00 6.50 6.50 6.75 6.75 6.00 6.00,,6.75,- - -,6.50,
Performance / Execution  0.80 6.25 6.25 6.75 6.75 7.00 7.00 6.25 6.75,,7.50,- - -,6.75,
Choreography / Composition  0.80 6.25 6.25 7.00 6.50 7.25 7.00 6.50 6.50,,7.25,- - -,6.85,
Interpretation  0.80 6.25 6.50 7.00 6.75 7.25 7.25 6.50 7.00,,7.00,- - -,6.90,
Judges Total Program Component Score (factored),,,,27.16,
Deductions:,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump",,,,,
Total Total,,,Total,Total,
NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,
Code Score Score,,,Score (factored),,
"= +",,,+,-,
6 Yuko KAWAGUCHI / Alexander SMIRNOV RUS  55.42  28.50,,,27.92,1.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 3T  4.00 -2.80 -3 -3 -3 -3 -3 -2 -2 -3,,-3,- - -,1.20,
2 3LzTw2  5.50 -0.56 -2 0 -2 -1 0 0 1 -1,,-1,- - -,4.94,
3 3LoTh  5.00  0.28 0 0 1 0 1 0 0 0,,1,- - -,5.28,
4 3Li4  4.00  0.60 1 1 1 1 2 1 1 1,,2,- - -,4.60,
5 FiDs4  3.50  0.28 0 0 0 0 2 0 1 -1,,1,- - -,3.78,
6 FCCoSp  0.00  0.00 - - - - - - - -,,-,- - -,0.00,
7 SpSq4  3.40  0.40 0 1 1 0 1 0 0 1,,1,- - -,3.80,
8 PCoSp4  4.50  0.40 0 1 1 0 1 1 1 1,,1,- - -,4.90,
29.90,,,,28.50,
Program Components Factor,,,,,
Skating Skills  0.80 6.00 6.50 7.25 7.00 7.50 7.00 7.00 6.50,,7.50,- - -,7.15,
Transition / Linking Footwork  0.80 6.00 6.75 6.75 6.50 7.25 7.00 6.50 6.75,,7.25,- - -,6.80,
Performance / Execution  0.80 6.25 6.50 7.00 6.75 7.00 6.75 7.00 6.50,,7.25,- - -,6.90,
Choreography / Composition  0.80 6.25 7.00 7.25 6.75 7.50 7.00 7.00 7.00,,8.00,- - -,7.10,
Interpretation  0.80 6.25 7.25 6.75 6.75 7.25 7.25 6.75 6.00,,7.50,- - -,6.95,
Judges Total Program Component Score (factored),,,,27.92,
Deductions: Falls: -1.00,,,,-1.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long) <  Downgraded jump",,,,,
Printed: 12.12.2008 22:13:31,,,,,
