Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Madison HUBBELL / Zachary DONOHUE,USA,158.25,2,61.05,1,97.2,2014-01-25,fc2014
2,Piper GILLES / Paul POIRIER,CAN,153.71,1,62.38,2,91.33,2014-01-25,fc2014
3,Alexandra ALDRIDGE / Daniel EATON,USA,144.95,3,57.65,3,87.3,2014-01-25,fc2014
4,Kharis RALPH / Asher HILL,CAN,137.03,4,53.97,4,83.06,2014-01-25,fc2014
5,Nicole ORFORD / Thomas WILLIAMS,CAN,133.42,5,53.73,6,79.69,2014-01-25,fc2014
6,Lynn KRIENGKRAIRUT / Logan GIULIETTI-SCHMITT,USA,130.05,6,49.55,5,80.5,2014-01-25,fc2014
7,Danielle OBRIEN / Gregory MERRIMAN,AUS,121.44,10,44.16,7,77.28,2014-01-25,fc2014
8,Yiyi ZHANG / Nan WU,CHN,116.34,9,44.6,8,71.74,2014-01-25,fc2014
9,Shiyue WANG / Xinyu LIU,CHN,115.66,7,46.81,9,68.85,2014-01-25,fc2014
10,Yura MIN / Timothy KOLETO,KOR,111.23,8,45.12,10,66.11,2014-01-25,fc2014
11,Emi HIRAI / Marien DE LA ASUNCION,JPN,99.82,11,44.11,13,55.71,2014-01-25,fc2014
12,Ksenia KOROBKOVA / Daryn ZHUNUSSOV,KAZ,98.79,13,39.8,11,58.99,2014-01-25,fc2014
13,Pilar MAEKAWA MORENO / Leonardo MAEKAWA MORENO,MEX,97.11,12,43.22,14,53.89,2014-01-25,fc2014
14,Elizaveta TRETIAKOV / Viktor KOVALENKO,UZB,91.76,14,35.68,12,56.08,2014-01-25,fc2014
