Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,SHEN Xue / ZHAO Hongbo,CHN,216.57,1,76.66,2,139.91,2010-02-27,owg2010
2,PANG Qing / TONG Jian,CHN,213.31,4,71.5,1,141.81,2010-02-27,owg2010
3,SAVCHENKO Aliona / SZOLKOWY Robin,GER,210.6,2,75.96,3,134.64,2010-02-27,owg2010
4,KAVAGUTI Yuko / SMIRNOV Alexander,RUS,194.77,3,74.16,7,120.61,2010-02-27,owg2010
5,ZHANG Dan / ZHANG Hao,CHN,194.34,5,71.28,4,123.06,2010-02-27,owg2010
6,DUBE Jessica / DAVISON Bryce,CAN,187.11,6,65.36,6,121.75,2010-02-27,owg2010
7,MUKHORTOVA Maria / TRANKOV Maxim,RUS,185.79,8,63.44,5,122.35,2010-02-27,owg2010
8,VOLOSOZHAR Tatiana / MOROZOV Stanislav,UKR,181.78,9,62.14,8,119.64,2010-02-27,owg2010
9,LANGLOIS Anabelle / HAY Cody,CAN,179.97,7,64.2,9,115.77,2010-02-27,owg2010
10,EVORA Amanda / LADWIG Mark,USA,171.92,10,57.86,10,114.06,2010-02-27,owg2010
11,BAZAROVA Vera / LARIONOV Yuri,RUS,163.5,12,56.54,11,106.96,2010-02-27,owg2010
12,DELLA MONICA Nicole / KOCON Yannick,ITA,161.6,11,56.82,13,104.78,2010-02-27,owg2010
13,DENNEY Caydee / BARRETT Jeremy,USA,158.33,14,53.26,12,105.07,2010-02-27,owg2010
14,JAMES Vanessa / BONHEUR Yannick,FRA,145.1,15,51.16,14,93.94,2010-02-27,owg2010
15,MORAND Anais / DORSAZ Antoine,SUI,144.42,13,55.34,17,89.08,2010-02-27,owg2010
16,KEMP Stacey / KING David,GBR,139.94,16,48.28,16,91.66,2010-02-27,owg2010
17,HAUSCH Maylin / WENDE Daniel,GER,138.74,17,45.46,15,93.28,2010-02-27,owg2010
18,SULEJ Joanna / CHRUSCINSKI Mateusz,POL,125.82,20,39.3,18,86.52,2010-02-27,owg2010
19,SERGEJEVA Maria / GLEBOV Ilja,EST,124.9,18,42.18,19,82.72,2010-02-27,owg2010
20,KOSTENKO Ekaterina / TALAN Roman,UKR,120.98,19,39.54,20,81.44,2010-02-27,owg2010
