Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,VIRTUE Tessa / MOIR Scott,CAN,221.57,2,42.74,1,68.41,1,110.42,2010-02-27,owg2010
2,DAVIS Meryl / WHITE Charlie,USA,215.74,3,41.47,2,67.08,2,107.19,2010-02-27,owg2010
3,DOMNINA Oksana / SHABALIN Maxim,RUS,207.64,1,43.76,3,62.84,3,101.04,2010-02-27,owg2010
4,BELBIN Tanith / AGOSTO Benjamin,USA,203.07,4,40.83,4,62.5,4,99.74,2010-02-27,owg2010
5,FAIELLA Federica / SCALI Massimo,ITA,199.17,5,39.88,5,60.18,5,99.11,2010-02-27,owg2010
6,DELOBEL Isabelle / SCHOENFELDER Olivier,FRA,193.73,6,37.99,7,58.68,6,97.06,2010-02-27,owg2010
7,PECHALAT Nathalie / BOURZAT Fabian,FRA,190.49,9,36.13,6,59.99,7,94.37,2010-02-27,owg2010
8,KERR Sinead / KERR John,GBR,186.01,8,37.02,8,56.76,9,92.23,2010-02-27,owg2010
9,KHOKHLOVA Jana / NOVITSKI Sergei,RUS,185.86,7,37.18,9,55.57,8,93.11,2010-02-27,owg2010
10,ZARETSKY Alexandra / ZARETSKY Roman,ISR,180.26,10,34.38,10,55.24,10,90.64,2010-02-27,owg2010
11,SAMUELSON Emily / BATES Evan,USA,174.3,14,31.37,11,53.99,11,88.94,2010-02-27,owg2010
12,CAPPELLINI Anna / LANOTTE Luca,ITA,167.32,12,33.13,12,51.45,15,82.74,2010-02-27,owg2010
13,HOFFMANN Nora / ZAVOZIN Maxim,HUN,167.23,13,31.9,13,51.22,13,84.11,2010-02-27,owg2010
14,CRONE Vanessa / POIRIER Paul,CAN,164.6,15,31.14,17,48.17,12,85.29,2010-02-27,owg2010
15,BOBROVA Ekaterina / SOLOVIEV Dmitri,RUS,163.35,17,29.86,15,50.61,14,82.88,2010-02-27,owg2010
16,ZADOROZHNIUK Anna / VERBILLO Sergei,UKR,163.15,11,33.87,16,50.02,17,79.26,2010-02-27,owg2010
17,REED Cathy / REED Chris,JPN,159.6,18,29.49,14,50.81,16,79.3,2010-02-27,owg2010
18,BEIER Christina / BEIER William,GER,149.64,16,30.31,18,46.42,18,72.91,2010-02-27,owg2010
19,HUANG Xintong / ZHENG Xun,CHN,145.52,19,29.22,20,45.03,20,71.27,2010-02-27,owg2010
20,COOMES Penny / BUCKLAND Nicholas,GBR,143.61,21,25.68,19,46.33,19,71.6,2010-02-27,owg2010
21,HAJKOVA Kamila / VINCOUR David,CZE,133.81,22,23.19,22,40.54,21,70.08,2010-02-27,owg2010
22,REED Allison / JAPARIDZE Otar,GEO,132.32,20,26.65,21,42.22,22,63.45,2010-02-27,owg2010
23,SHTORK Irina / RAND Taavi,EST,115.18,23,21.73,23,35.21,23,58.24,2010-02-27,owg2010
