Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,LYSACEK Evan,USA,257.67,2,90.3,1,167.37,2010-02-27,owg2010
2,PLUSHENKO Evgeni,RUS,256.36,1,90.85,2,165.51,2010-02-27,owg2010
3,TAKAHASHI Daisuke,JPN,247.23,3,90.25,5,156.98,2010-02-27,owg2010
4,LAMBIEL Stephane,SUI,246.72,5,84.63,3,162.09,2010-02-27,owg2010
5,CHAN Patrick,CAN,241.42,7,81.12,4,160.3,2010-02-27,owg2010
6,WEIR Johnny,USA,238.87,6,82.1,6,156.77,2010-02-27,owg2010
7,ODA Nobunari,JPN,238.54,4,84.85,7,153.69,2010-02-27,owg2010
8,KOZUKA Takahiko,JPN,231.19,8,79.59,8,151.6,2010-02-27,owg2010
9,ABBOTT Jeremy,USA,218.96,15,69.4,9,149.56,2010-02-27,owg2010
10,BREZINA Michal,CZE,216.73,9,78.8,11,137.93,2010-02-27,owg2010
11,TEN Denis,KAZ,211.25,10,76.24,14,135.01,2010-02-27,owg2010
12,AMODIO Florent,FRA,210.3,11,75.35,15,134.95,2010-02-27,owg2010
13,BORODULIN Artem,RUS,210.16,13,72.24,12,137.92,2010-02-27,owg2010
14,FERNANDEZ Javier,ESP,206.68,16,68.69,10,137.99,2010-02-27,owg2010
15,SCHULTHEISS Adrian,SWE,200.44,22,63.13,13,137.31,2010-02-27,owg2010
16,JOUBERT Brian,FRA,200.22,18,68.0,16,132.22,2010-02-27,owg2010
17,van der PERREN Kevin,BEL,189.84,12,72.9,18,116.94,2010-02-27,owg2010
18,CONTESTI Samuel,ITA,187.5,14,70.6,19,116.9,2010-02-27,owg2010
19,VERNER Tomas,CZE,184.74,19,65.32,17,119.42,2010-02-27,owg2010
20,BACCHINI Paolo,ITA,177.21,20,64.42,22,112.79,2010-02-27,owg2010
21,PFEIFER Viktor,AUT,175.93,23,60.88,20,115.05,2010-02-27,owg2010
22,LINDEMANN Stefan,GER,171.98,17,68.5,23,103.48,2010-02-27,owg2010
23,CHIPEUR Vaughn,CAN,170.92,24,57.22,21,113.7,2010-02-27,owg2010
24,KOVALEVSKI Anton,UKR,165.9,21,63.81,24,102.09,2010-02-27,owg2010
25,RI Song Chol,PRK,56.6,25,56.6,DNQ,DNQ,2010-02-27,owg2010
26,RAKIMGALIEV Abzal,KAZ,55.88,26,55.88,DNQ,DNQ,2010-02-27,owg2010
27,URBAS Gregor,SLO,53.02,27,53.02,DNQ,DNQ,2010-02-27,owg2010
28,DOMANSKI Przemyslaw,POL,52.14,28,52.14,DNQ,DNQ,2010-02-27,owg2010
29,KELEMEN Zoltan,ROU,51.95,29,51.95,DNQ,DNQ,2010-02-27,owg2010
30,NURMENKARI Ari-Pekka,FIN,44.62,30,44.62,DNQ,DNQ,2010-02-27,owg2010
