11
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
12,Maria BOROUNOV / Evgeni BOROUNOV,AUS,0,24.15,15.39,9.76,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,Ref,Scores of Panel
1,CoSp1,,3.0,False,0.0,0,0,-1,0,0,0,0,0,0,0,0,,3.0
2,NtMiTw1,,2.1,False,-1.05,-2,-2,-3,-3,-2,-1,-2,-2,-3,-2,-2,,1.05
3,NtMiSt1,,2.9,False,-0.83,-2,-2,-3,-2,-1,-1,-1,-2,-2,-1,-2,,2.07
4,CuLi4,,4.0,False,-0.08,0,-1,-1,0,0,0,0,0,0,0,1,,3.92
5,DiSt1,,4.6,False,-3.0,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,,1.6
6,RoLi4,,4.0,False,-0.25,0,-1,-1,-1,-1,1,0,0,-1,0,1,,3.75
,,,20.6,,,,,,,,,,,,,,,15.39
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,3.0,2.25,3.25,3.5,2.5,3.25,3.0,2.75,3.5,3.0,3.0,,2.92
,Linking Footwork / Movement  ,,,,0.8,3.0,1.5,3.0,3.25,2.0,3.0,2.75,2.5,2.5,2.75,3.0,,2.58
,Performance  ,,,,0.6,2.5,2.0,3.0,3.5,1.75,3.0,2.75,2.5,2.5,3.0,2.0,,2.46
,Choreography  ,,,,0.6,2.75,2.0,3.25,3.5,2.75,3.25,3.0,2.75,2.5,3.0,2.25,,2.71
,Interpretation / Timing  ,,,,1.0,2.5,1.0,2.75,3.25,2.0,3.0,2.5,2.5,2.25,3.0,1.5,,2.25
,,,,,,,,,,,,,,,,,,9.76
Deduction,Falls,-1.0
