Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Aliona SAVCHENKO / Robin SZOLKOWY,GER,199.39,1,65.38,1,134.01,2007-01-28,ec2007
2,Maria PETROVA / Alexei TIKHONOV,RUS,179.61,2,62.22,2,117.39,2007-01-28,ec2007
3,Dorota SIUDEK / Mariusz SIUDEK,POL,170.91,3,57.81,3,113.1,2007-01-28,ec2007
4,Julia OBERTAS / Sergei SLAVNOV,RUS,156.96,4,57.04,5,99.92,2007-01-28,ec2007
5,Tatiana VOLOSOZHAR / Stanislav MOROZOV,UKR,155.35,5,53.62,4,101.73,2007-01-28,ec2007
6,Elena EFAIEVA / Alexei MENSHIKOV,RUS,141.05,7,45.86,6,95.19,2007-01-28,ec2007
7,Mari VARTMANN / Florian JUST,GER,132.76,6,47.19,9,85.57,2007-01-28,ec2007
8,Marylin PLA / Yannick BONHEUR,FRA,130.67,12,42.51,7,88.16,2007-01-28,ec2007
9,Laura MAGITTERI / Ondrej HOTAREK,ITA,130.15,9,43.82,8,86.33,2007-01-28,ec2007
10,Dominika PIATKOWSKA / Dmitri KHROMIN,POL,122.98,8,45.55,11,77.43,2007-01-28,ec2007
11,Stacey KEMP / David KING,GBR,121.06,13,42.11,10,78.95,2007-01-28,ec2007
12,Rebecca HANDKE / Daniel WENDE,GER,119.25,10,43.56,13,75.69,2007-01-28,ec2007
13,Adeline CANAC / Maxima COIA,FRA,118.9,11,43.07,12,75.83,2007-01-28,ec2007
14,Diana RENNIK / Aleksei SAKS,EST,115.54,14,41.17,14,74.37,2007-01-28,ec2007
WD,Ekaterina SOSINOVA / Feder SOKOLOV,AZE,WD,WD,WD,WD,WD,2007-01-28,ec2007
