Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Isabelle DELOBEL / Olivier SCHOENFELDER,FRA,199.47,1,39.57,1,60.71,2,99.19,2007-01-28,ec2007
2,Oksana DOMNINA / Maxim SHABALIN,RUS,199.16,2,38.99,2,59.78,1,100.39,2007-01-28,ec2007
3,Albena DENKOVA / Maxim STAVISKI,BUL,193.73,3,38.56,3,56.56,3,98.61,2007-01-28,ec2007
4,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,175.76,5,33.46,4,52.59,4,89.71,2007-01-28,ec2007
5,Sinead KERR / John KERR,GBR,171.9,6,33.44,6,51.32,5,87.14,2007-01-28,ec2007
6,Federica FAIELLA / Massimo SCALI,ITA,170.26,4,34.53,5,52.41,6,83.32,2007-01-28,ec2007
7,Kristin FRASER / Igor LUKANIN,AZE,157.63,8,29.69,9,48.51,7,79.43,2007-01-28,ec2007
8,Anna CAPPELLINI / Luca LANOTTE,ITA,155.28,9,28.92,8,49.78,11,76.58,2007-01-28,ec2007
9,Pernelle CARRON / Mathieu JOST,FRA,152.47,14,26.32,10,46.76,8,79.39,2007-01-28,ec2007
10,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,149.62,10,27.49,12,44.47,9,77.66,2007-01-28,ec2007
11,Alexandra ZARETSKI / Roman ZARETSKI,ISR,148.05,12,27.31,11,44.86,12,75.88,2007-01-28,ec2007
12,Ekaterina RUBLEVA / Ivan SHEFER,RUS,147.81,11,27.48,13,43.04,10,77.29,2007-01-28,ec2007
13,Alla BEKNAZAROVA / Vladimir ZUEV,UKR,138.25,13,27.06,14,41.52,15,69.67,2007-01-28,ec2007
14,Anastasia GREBENKINA / Vazgen AZROJAN,ARM,136.32,15,25.0,17,40.99,14,70.33,2007-01-28,ec2007
15,Grethe GRUENBERG / Kristian RAND,EST,134.53,20,21.98,15,41.32,13,71.23,2007-01-28,ec2007
16,Nelli ZHIGANSHINA / Alexander GAZSI,GER,133.2,16,22.91,16,41.09,16,69.2,2007-01-28,ec2007
17,Kamila HAJKOVA / David VINCOUR,CZE,127.15,19,22.26,19,38.85,17,66.04,2007-01-28,ec2007
18,Katherine COPELY / Deividas STAGNIUNAS,LTU,124.53,21,21.14,20,37.77,18,65.62,2007-01-28,ec2007
19,Barbora SILNA / Dmitri MATSJUK,AUT,123.56,17,22.8,18,40.84,23,59.92,2007-01-28,ec2007
20,Zsuzsanna NAGY / Gyorgy ELEK,HUN,120.23,23,21.04,21,36.01,20,63.18,2007-01-28,ec2007
21,Joanna BUDNER / Jan MOSCICKI,POL,119.2,22,21.14,22,35.79,21,62.27,2007-01-28,ec2007
22,Nora von BERGEN / David DeFAZIO,SUI,118.81,24,20.47,23,34.99,19,63.35,2007-01-28,ec2007
23,Phillipa TOWLER-GREEN / Phillip POOLE,GBR,116.06,18,22.31,24,32.74,22,61.01,2007-01-28,ec2007
WD,Nora HOFFMANN / Attila ELEK,HUN,81.47,7,30.64,7,50.83,WD,WD,2007-01-28,ec2007
25,Nicolette Amie HOUSE / Aidas REKLYS,LTU,49.63,25,18.64,25,30.99,DNQ,DNQ,2007-01-28,ec2007
26,Christa-Elizabeth GOULAKOS / Eric NEUMANN-AUBICHON,GRE,44.73,26,14.78,26,29.95,DNQ,DNQ,2007-01-28,ec2007
27,Evgenia MELNIK / Oleg KRUPEN,BLR,39.54,27,11.87,27,27.67,DNQ,DNQ,2007-01-28,ec2007
