Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Michal BREZINA,CZE,216.0,1,79.08,3,136.92,2011-10-23,gpusa2011
2,Kevin VAN DER PERREN,BEL,212.48,4,70.09,1,142.39,2011-10-23,gpusa2011
3,Takahiko KOZUKA,JPN,212.09,2,70.69,2,141.4,2011-10-23,gpusa2011
4,Richard DORNBUSH,USA,202.27,5,70.03,6,132.24,2011-10-23,gpusa2011
5,Denis TEN,KAZ,197.98,6,67.38,7,130.6,2011-10-23,gpusa2011
6,Daisuke MURAKAMI,JPN,193.32,3,70.67,9,122.65,2011-10-23,gpusa2011
7,Douglas RAZZANO,USA,192.95,9,60.69,5,132.26,2011-10-23,gpusa2011
8,Samuel CONTESTI,ITA,190.2,10,55.52,4,134.68,2011-10-23,gpusa2011
9,Florent AMODIO,FRA,187.6,8,62.46,8,125.14,2011-10-23,gpusa2011
10,Armin MAHBANOOZADEH,USA,179.07,7,64.54,10,114.53,2011-10-23,gpusa2011
