ISU GP Hilton HHonors Skate America 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
13 FCCoSp4  3.50  0.71 1 2 1,,2 2 1 1,,2 1,4.21,
70.49,,,,,68.54,
Program Components Factor,,,,,,
Skating Skills  2.00 8.00 8.25 8.25,,7.75 7.75 7.25 7.50,,8.25 7.00,7.82,
Transition / Linking Footwork  2.00 7.50 7.75 7.75,,7.50 7.25 6.75 6.75,,7.25 7.00,7.29,
Performance / Execution  2.00 7.75 7.75 8.00,,7.50 6.75 7.00 7.00,,6.75 6.75,7.21,
Choreography / Composition  2.00 7.75 8.50 8.00,,7.75 7.50 7.25 7.25,,7.50 6.50,7.57,
Interpretation  2.00 8.00 8.25 8.00,,7.50 7.50 7.25 7.25,,7.25 6.75,7.54,
Judges Total Program Component Score (factored),,,,,74.86,
Deductions: Falls: -2.00,,,,,-2.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,,
ISU GP Hilton HHonors Skate America 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
3 Michal BREZINA CZE,10,136.92  64.50,,73.42,-1.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 3A  8.50  1.86 2 1,2,1 2 2 2,,2 2,10.36,
2 3F+3T  9.40  1.50 2 1,2,2 3 3 3,,2 1,10.90,
3 3S  4.20  0.90 1 1,1,1 2 1 2,,2 0,5.10,
4 FSSp4  3.00  0.43 1 0,1,1 1 1 0,,2 1,3.43,
"",,Info,,,,Info
5 CiSt2  2.60 -0.17 0 0,-1,0 -1 0 -1,,-1 -1,2.43,
6 3A+2T  10.78 x  0.29 0 0,1,0 1 0 1,,0 0,11.07,
7 3F  5.83 x  0.70 0 1,1,1 2 1 1,,1 1,6.53,
8 1Lo  0.55 x -0.07 0 -1,-1,0 0 -2 0,,-2 -1,0.48,
9 3Lz< <  4.62 x -2.10 -3 -3,-3,-3 -3 -3 -3,,-3 -3,2.52,
10 1A+2T  2.64 x -0.09 -1 -1,0,0 1 0 0,,-1 -1,2.55,
11 CCoSp3  3.00  0.07 1 0,0,1 0 0 0,,0 0,3.07,
12 ChSt1  2.00  0.70 1 1,1,1 1 1 1,,0 1,2.70,
13 CSSp4  3.00  0.36 1 1,0,1 1 1 1,,0 0,3.36,
60.12,,,,,64.50,
Program Components Factor,,,,,,
Skating Skills  2.00 7.25 7.25,7.75,7.50 7.75 7.50 7.00,,7.25 7.75,7.46,
Transition / Linking Footwork  2.00 7.00 7.00,7.50,7.25 7.50 7.00 6.75,,7.25 7.50,7.21,
Performance / Execution  2.00 7.00 7.50,7.25,7.50 7.50 7.00 7.00,,7.00 7.00,7.18,
Choreography / Composition  2.00 7.25 7.50,7.75,7.75 7.75 7.75 6.75,,7.25 7.50,7.54,
Interpretation  2.00 7.25 7.25,7.50,7.50 7.50 7.25 6.75,,7.00 7.75,7.32,
Judges Total Program Component Score (factored),,,,,73.42,
Deductions: Falls: -1.00,,,,,-1.00,
"<  Under-rotated jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
4 Samuel CONTESTI ITA,1,134.68  68.32,,66.36,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 3A  8.50  1.14 1 1,2,1 1 1 1,,1 2,9.64,
2 3F  5.30  0.40 1 1,1,0 1 0 0,,0 2,5.70,
3 3Lz  6.00 -1.40 -2 -2,-2,-1 -2 -2 -2,,-2 -2,4.60,
4 CCSp4  3.20 -0.09 0 0,-1,-1 1 0 -1,,0 0,3.11,
5 CCoSp3  3.00  0.21 1 0,1,0 2 0 0,,0 1,3.21,
6 CiSt3  3.30  0.36 0 0,1,1 1 1 0,,1 1,3.66,
7 3A+2T  10.78 x  0.29 0 1,0,0 1 0 -1,,0 1,11.07,
8 3Lo  5.61 x -0.50 -1 0,-1,-1 -1 0 -1,,-1 0,5.11,
9 ChSt1  2.00  0.60 0 2,1,1 1 1 -1,,1 1,2.60,
10 2A  3.63 x  0.29 0 0,1,1 1 1 0,,-1 1,3.92,
11 3S+2T+2T  7.48 x -0.80 -1 -1,-1,-1 -1 -2 -2,,-1 -1,6.68,
12 3T+2A+SEQ  6.51 x  0.00 0 0,0,0 0 0 0,,0 0,6.51,
13 FSSp3  2.60 -0.09 -1 0,0,1 0 0 -1,,0 -1,2.51,
67.91,,,,,68.32,
Program Components Factor,,,,,,
Skating Skills  2.00 6.75 7.00,5.75,6.25 6.50 6.75 6.00,,6.25 7.00,6.50,
Transition / Linking Footwork  2.00 7.25 7.00,5.50,6.00 6.25 6.50 5.50,,6.00 6.50,6.25,
Performance / Execution  2.00 6.50 7.25,5.75,7.00 6.75 7.00 6.00,,6.50 7.00,6.68,
Choreography / Composition  2.00 7.00 7.25,5.75,6.25 7.00 7.00 6.00,,6.75 6.75,6.68,
Interpretation  2.00 7.50 7.50,6.00,7.00 7.50 7.25 6.25,,6.75 7.25,7.07,
Judges Total Program Component Score (factored),,,,,66.36,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU GP Hilton HHonors Skate America 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
5 Douglas RAZZANO USA,2,132.26  69.84,,62.42,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 3A  8.50  1.00 1 1,1,1 2 1 1,,1 0,9.50,
2 3T  4.10  0.20 1 0,0,0 1 0 0,,1 0,4.30,
3 3A+2T  9.80  0.43 1 0,0,0 1 1 2,,0 0,10.23,
4 3Lz  6.00  0.00 0 0,0,0 0 1 0,,0 -1,6.00,
"",,Info,,,,Info
5 CSp3  2.30  0.50 1 1,0,0 2 1 1,,1 2,2.80,
6 FSSp4  3.00  0.36 0 0,1,0 1 1 1,,1 1,3.36,
7 CiSt3  3.30  0.07 0 0,0,0 0 1 1,,0 0,3.37,
8 3T+2T  5.94 x  0.30 0 0,0,0 2 0 1,,1 1,6.24,
9 3S  4.62 x  0.30 0 1,0,0 0 1 1,,1 0,4.92,
10 3Lo  5.61 x  0.30 1 0,0,0 1 2 0,,1 0,5.91,
11 ChSt1  2.00  0.10 0 0,0,0 0 1 0,,0 1,2.10,
12 2A+2T+2Lo  7.04 x  0.14 0 0,0,0 0 1 1,,0 1,7.18,
13 CCoSp4  3.50  0.43 1 1,0,0 1 2 1,,1 1,3.93,
65.71,,,,,69.84,
Program Components Factor,,,,,,
Skating Skills  2.00 7.00 6.50,5.75,5.75 6.00 6.75 6.50,,6.75 6.25,6.36,
Transition / Linking Footwork  2.00 7.25 6.00,5.25,5.25 5.75 6.25 6.00,,6.50 6.00,5.96,
Performance / Execution  2.00 7.25 6.50,5.50,6.00 6.75 6.75 6.50,,6.25 6.25,6.43,
Choreography / Composition  2.00 7.25 6.50,5.50,5.50 6.00 6.50 6.75,,6.25 6.00,6.21,
Interpretation  2.00 7.00 6.25,5.00,5.75 6.25 6.50 6.25,,6.50 6.25,6.25,
Judges Total Program Component Score (factored),,,,,62.42,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
6 Richard DORNBUSH USA,6,132.24  64.44,,68.80,-1.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T  10.30 -0.71 -1 0,-1,-1 0 -1 -1,,1 -1,9.59,
2 3Lz  6.00  0.40 0 0,1,1 0 1 0,,1 1,6.40,
3 3A  8.50 -2.00 -3 -2,-2,-2 -2 -2 -2,,-2 -2,6.50,
4 SlSt3  3.30  0.36 1 1,1,0 0 1 0,,1 1,3.66,
