Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Javier FERNANDEZ,ESP,267.11,1,91.56,1,175.55,2014-01-19,ec2014
2,Sergei VORONOV,RUS,252.55,2,85.51,2,167.04,2014-01-19,ec2014
3,Konstantin MENSHOV,RUS,237.24,11,72.12,3,165.12,2014-01-19,ec2014
4,Michal BREZINA,CZE,236.98,5,82.8,4,154.18,2014-01-19,ec2014
5,Maxim KOVTUN,RUS,232.37,4,83.15,5,149.22,2014-01-19,ec2014
6,Peter LIEBERS,GER,225.76,8,77.42,7,148.34,2014-01-19,ec2014
7,Tomas VERNER,CZE,223.66,3,83.51,8,140.15,2014-01-19,ec2014
8,Brian JOUBERT,FRA,221.95,9,73.29,6,148.66,2014-01-19,ec2014
9,Jorik HENDRICKX,BEL,205.92,10,73.21,10,132.71,2014-01-19,ec2014
10,Alexei BYCHENKO,ISR,203.76,13,68.68,9,135.08,2014-01-19,ec2014
11,Alexander MAJOROV,SWE,202.47,6,79.62,13,122.85,2014-01-19,ec2014
12,Chafik BESSEGHIER,FRA,198.07,12,70.85,12,127.22,2014-01-19,ec2014
13,Florent AMODIO,FRA,190.13,7,78.6,20,111.53,2014-01-19,ec2014
14,Viktor PFEIFER,AUT,189.06,16,60.89,11,128.17,2014-01-19,ec2014
15,Franz STREUBEL,GER,182.21,19,59.96,14,122.25,2014-01-19,ec2014
16,Kim LUCINE,MON,179.89,18,60.0,16,119.89,2014-01-19,ec2014
17,Stephane WALKER,SUI,179.52,17,60.54,17,118.98,2014-01-19,ec2014
18,Javier RAYA,ESP,179.37,20,57.13,15,122.24,2014-01-19,ec2014
19,Maciej CIEPLUCHA,POL,179.06,15,65.84,19,113.22,2014-01-19,ec2014
20,Pavel IGNATENKO,BLR,172.08,22,55.99,18,116.09,2014-01-19,ec2014
21,Zoltan KELEMEN,ROU,171.26,14,68.32,22,102.94,2014-01-19,ec2014
22,Yakov GODOROZHA,UKR,158.88,21,57.09,23,101.79,2014-01-19,ec2014
23,Paul Bonifacio PARKINSON,ITA,157.81,24,52.08,21,105.73,2014-01-19,ec2014
24,Viktor ROMANENKOV,EST,153.66,23,55.43,24,98.23,2014-01-19,ec2014
25,Sondre ODDVOLL BOE,NOR,49.84,25,49.84,DNQ,DNQ,2014-01-19,ec2014
26,Marco KLEPOCH,SVK,49.48,26,49.48,DNQ,DNQ,2014-01-19,ec2014
27,Matthew PARR,GBR,49.32,27,49.32,DNQ,DNQ,2014-01-19,ec2014
28,Manol ATANASSOV,BUL,49.07,28,49.07,DNQ,DNQ,2014-01-19,ec2014
29,Valtter VIRTANEN,FIN,48.55,29,48.55,DNQ,DNQ,2014-01-19,ec2014
30,Kristof FORGO,HUN,47.91,30,47.91,DNQ,DNQ,2014-01-19,ec2014
31,Justus STRID,DEN,47.05,31,47.05,DNQ,DNQ,2014-01-19,ec2014
32,Ali DEMIRBOGA,TUR,46.56,32,46.56,DNQ,DNQ,2014-01-19,ec2014
33,Manuel KOLL,AUT,45.61,33,45.61,DNQ,DNQ,2014-01-19,ec2014
34,Illya SOLOMIN,SWE,44.73,34,44.73,DNQ,DNQ,2014-01-19,ec2014
35,Sarkis HAYRAPETYAN,ARM,42.9,35,42.9,DNQ,DNQ,2014-01-19,ec2014
