Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Julia LIPNITSKAIA,RUS,209.72,2,69.97,1,139.75,2014-01-19,ec2014
2,Adelina SOTNIKOVA,RUS,202.36,1,70.73,2,131.63,2014-01-19,ec2014
3,Carolina KOSTNER,ITA,191.39,3,68.97,3,122.42,2014-01-19,ec2014
4,Alena LEONOVA,RUS,178.15,4,64.09,5,114.06,2014-01-19,ec2014
5,Mae Berenice MEITE,FRA,173.37,5,58.64,4,114.73,2014-01-19,ec2014
6,Valentina MARCHEI,ITA,165.25,6,57.38,6,107.87,2014-01-19,ec2014
7,Elena GLEBOVA,EST,155.71,8,54.68,7,101.03,2014-01-19,ec2014
8,Nathalie WEINZIERL,GER,151.88,10,53.02,8,98.86,2014-01-19,ec2014
9,Joshi HELGESSON,SWE,146.45,9,54.25,10,92.2,2014-01-19,ec2014
10,Elene GEDEVANISHVILI,GEO,141.82,7,54.78,13,87.04,2014-01-19,ec2014
11,Roberta RODEGHIERO,ITA,141.25,15,48.52,9,92.73,2014-01-19,ec2014
12,Juulia TURKKILA,FIN,140.31,12,50.42,12,89.89,2014-01-19,ec2014
13,Laurine LECAVELIER,FRA,139.42,13,49.12,11,90.3,2014-01-19,ec2014
14,Viktoria HELGESSON,SWE,138.73,11,52.55,14,86.18,2014-01-19,ec2014
15,Eliska BREZINOVA,CZE,130.35,16,47.1,16,83.25,2014-01-19,ec2014
16,Isabelle OLSSON,SWE,129.39,22,43.97,15,85.42,2014-01-19,ec2014
17,Nicole RAJICOVA,SVK,128.25,14,49.0,18,79.25,2014-01-19,ec2014
18,Inga JANULEVICIUTE,LTU,126.2,21,44.24,17,81.96,2014-01-19,ec2014
19,Anne Line GJERSEM,NOR,125.58,18,46.63,19,78.95,2014-01-19,ec2014
20,Kaat VAN DAELE,BEL,123.05,19,46.18,20,76.87,2014-01-19,ec2014
21,Agata KRYGER,POL,119.52,23,43.59,21,75.93,2014-01-19,ec2014
22,Marta GARCIA,ESP,118.11,20,44.61,22,73.5,2014-01-19,ec2014
23,Natalia POPOVA,UKR,112.26,17,47.01,24,65.25,2014-01-19,ec2014
24,Jenna MCCORKELL,GBR,110.19,24,39.59,23,70.6,2014-01-19,ec2014
25,Janina MAKEENKA,BLR,39.44,25,39.44,DNQ,DNQ,2014-01-19,ec2014
26,Tanja ODERMATT,SUI,39.42,26,39.42,DNQ,DNQ,2014-01-19,ec2014
27,Dasa GRM,SLO,38.52,27,38.52,DNQ,DNQ,2014-01-19,ec2014
28,Sonia LAFUENTE,ESP,38.43,28,38.43,DNQ,DNQ,2014-01-19,ec2014
29,Anita MADSEN,DEN,38.42,29,38.42,DNQ,DNQ,2014-01-19,ec2014
30,Ieva GAILE,LAT,37.83,30,37.83,DNQ,DNQ,2014-01-19,ec2014
31,Kerstin FRANK,AUT,37.44,31,37.44,DNQ,DNQ,2014-01-19,ec2014
32,Michelle COUWENBERG,NED,36.72,32,36.72,DNQ,DNQ,2014-01-19,ec2014
33,Fleur MAXWELL,LUX,36.48,33,36.48,DNQ,DNQ,2014-01-19,ec2014
34,Sarah HECKEN,GER,35.2,34,35.2,DNQ,DNQ,2014-01-19,ec2014
35,Danielle MONTALBANO,ISR,33.87,35,33.87,DNQ,DNQ,2014-01-19,ec2014
36,Anna AFONKINA,BUL,31.15,36,31.15,DNQ,DNQ,2014-01-19,ec2014
37,Sila SAYGI,TUR,25.88,37,25.88,DNQ,DNQ,2014-01-19,ec2014
