Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,DAVIS Meryl / WHITE Charlie,USA,192.39,2,35.23,2,60.42,1,96.74,2009-02-08,fc2009
2,VIRTUE Tessa / MOIR Scott,CAN,191.81,1,36.4,1,60.9,2,94.51,2009-02-08,fc2009
3,SAMUELSON Emily / BATES Evan,USA,180.79,4,31.41,3,59.48,3,89.9,2009-02-08,fc2009
4,CRONE Vanessa / POIRIER Paul,CAN,176.82,3,32.43,4,56.36,4,88.03,2009-02-08,fc2009
5,WEAVER Kaitlyn / POJE Andrew,CAN,168.76,5,30.62,5,53.33,5,84.81,2009-02-08,fc2009
6,NAVARRO Kimberly / BOMMENTRE Brent,USA,151.82,6,30.59,6,47.59,6,73.64,2009-02-08,fc2009
7,HUANG Xintong / ZHENG Xun,CHN,142.3,7,27.56,7,46.95,8,67.79,2009-02-08,fc2009
8,YU Xiaoyang / WANG Chen,CHN,137.9,8,24.65,8,42.12,7,71.13,2009-02-08,fc2009
9,WANG Jiayue / GAO Chongbo,CHN,132.53,9,23.31,9,41.74,9,67.48,2009-02-08,fc2009
10,OBRIEN Danielle / MERRIMAN Gregory,AUS,112.93,10,19.7,10,36.13,10,57.1,2009-02-08,fc2009
11,BOROUNOV Maria / BOROUNOV Evgeni,AUS,101.35,11,17.51,11,31.15,11,52.69,2009-02-08,fc2009
WD,REED Cathy/ REED Chris,JPN,WD,WD,WD,WD,WD,WD,WD,2009-02-08,fc2009
