Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Maia SHIBUTANI / Alex SHIBUTANI,USA,185.75,1,73.04,1,112.71,2016-10-23,gpusa2016
2,Madison HUBBELL / Zachary DONOHUE,USA,175.77,3,68.78,2,106.99,2016-10-23,gpusa2016
3,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,174.77,2,68.92,3,105.85,2016-10-23,gpusa2016
4,Charlene GUIGNARD / Marco FABBRI,ITA,165.44,5,64.79,4,100.65,2016-10-23,gpusa2016
5,Elena ILINYKH / Ruslan ZHIGANSHIN,RUS,165.16,4,66.6,6,98.56,2016-10-23,gpusa2016
6,Isabella TOBIAS / Ilia TKACHENKO,ISR,161.99,6,63.33,5,98.66,2016-10-23,gpusa2016
7,Elliana POGREBINSKY / Alex BENOIT,USA,151.76,8,58.18,7,93.58,2016-10-23,gpusa2016
8,Kana MURAMOTO / Chris REED,JPN,147.37,10,56.19,8,91.18,2016-10-23,gpusa2016
9,Alisa AGAFONOVA / Alper UCAR,TUR,146.1,7,58.98,9,87.12,2016-10-23,gpusa2016
10,Yura MIN / Alexander GAMELIN,KOR,141.5,9,56.25,10,85.25,2016-10-23,gpusa2016
